代码,名称,今日涨幅
000567,海德股份,10.07
603717,天域生物,10.07
002763,汇洁股份,10.06
000783,长江证券,10.06
600246,万通发展,10.05
600379,宝光股份,10.03
603711,香飘飘,10.02
000007,全新好,10.0
600714,金瑞矿业,10.0
002842,翔鹭钨业,10.0
002591,恒大高新,10.0
000066,中国长城,9.99
002645,华宏科技,9.99
000833,粤桂股份,9.99
600330,天通股份,8.69
000042,中洲控股,8.57
603050,科林电气,7.69
603779,威龙股份,7.19
002202,金风科技,7.07
605122,四方新材,6.51
603660,苏州科达,6.48
002068,黑猫股份,6.14
603926,铁流股份,6.05
600072,中船科技,6.05
002737,葵花药业,5.95
002730,电光科技,5.95
002208,合肥城建,5.86
601339,百隆东方,5.69
002277,友阿股份,5.65
002297,博云新材,5.56
603333,尚纬股份,5.24
002348,高乐股份,5.1
603637,镇海股份,5.04
601233,桐昆股份,4.99
002723,小崧股份,4.98
002188,中天服务,4.94
000546,金圆股份,4.75
002494,华斯股份,4.72
600359,新农开发,4.67
002878,元隆雅图,4.6
002111,威海广泰,4.55
603303,得邦照明,4.45
603527,众源新材,4.35
600883,博闻科技,4.28
603356,华菱精工,4.2
002354,天娱数科,4.2
603876,鼎胜新材,4.2
605151,西上海,3.97
603057,紫燕食品,3.93
603506,南都物业,3.92
001289,龙源电力,3.83
002488,金固股份,3.75
002631,德尔未来,3.68
002633,申科股份,3.68
002254,泰和新材,3.56
000338,潍柴动力,3.48
002695,煌上煌,3.48
605369,拱东医疗,3.47
600663,陆家嘴,3.39
002577,雷柏科技,3.37
000551,创元科技,3.3
002414,高德红外,3.27
603900,莱绅通灵,3.23
600768,宁波富邦,3.23
603730,岱美股份,3.21
600586,金晶科技,3.17
603916,苏博特,3.07
000949,新乡化纤,3.06
603839,安正时尚,3.06
603321,梅轮电梯,3.06
002820,桂发祥,2.96
600229,城市传媒,2.93
002832,比音勒芬,2.9
002858,力盛体育,2.83
002875,安奈儿,2.8
601858,中国科传,2.79
000036,华联控股,2.76
600857,宁波中百,2.75
002968,新大正,2.67
002655,共达电声,2.67
002185,华天科技,2.66
600123,兰花科创,2.61
002780,三夫户外,2.57
002616,长青集团,2.53
603116,红蜻蜓,2.52
002395,双象股份,2.49
603022,新通联,2.45
600152,维科技术,2.41
603085,天成自控,2.33
603638,艾迪精密,2.33
600351,亚宝药业,2.31
000582,北部湾港,2.3
002493,荣盛石化,2.27
603518,锦泓集团,2.26
600149,廊坊发展,2.23
002706,良信股份,2.21
001219,青岛食品,2.2
600697,欧亚集团,2.2
603488,展鹏科技,2.19
002910,庄园牧场,2.17
002715,登云股份,2.1
003003,天元股份,2.06
002795,永和智控,2.0
000679,大连友谊,1.97
601360,三六零,1.92
600251,冠农股份,1.89
000702,正虹科技,1.86
002180,纳思达,1.81
600778,友好集团,1.79
600295,鄂尔多斯,1.75
002757,南兴股份,1.71
601118,海南橡胶,1.7
603029,天鹅股份,1.68
002125,湘潭电化,1.66
601098,中南传媒,1.52
001387,雪祺电气,1.5
603041,美思德,1.44
601939,建设银行,1.43
002746,仙坛股份,1.43
002255,海陆重工,1.35
600446,金证股份,1.33
600573,惠泉啤酒,1.33
600505,西昌电力,1.32
600854,春兰股份,1.31
603587,地素时尚,1.29
000025,特  力Ａ,1.28
601038,一拖股份,1.24
002376,新北洋,1.24
000514,渝 开 发,1.23
002153,石基信息,1.2
603165,荣晟环保,1.16
603093,南华期货,1.16
600037,歌华有线,1.14
603848,好太太,1.13
002946,新乳业,1.12
600367,红星发展,1.08
000623,吉林敖东,1.07
002887,绿茵生态,1.06
600356,恒丰纸业,1.02
600133,东湖高新,1.01
000605,渤海股份,0.98
002701,奥瑞金,0.92
002786,银宝山新,0.9
605567,春雪食品,0.89
603536,惠发食品,0.86
000058,深 赛 格,0.86
600630,龙头股份,0.85
603689,皖天然气,0.84
601198,东兴证券,0.84
601577,长沙银行,0.81
000881,中广核技,0.78
000680,山推股份,0.76
000922,佳电股份,0.75
603511,爱慕股份,0.68
600463,空港股份,0.65
600377,宁沪高速,0.65
002148,北纬科技,0.64
603323,苏农银行,0.61
603225,新凤鸣,0.6
600824,益民集团,0.49
601666,平煤股份,0.47
605018,长华集团,0.47
001324,长青科技,0.44
601456,国联民生,0.31
601882,海天精工,0.3
000983,山西焦煤,0.29
603817,海峡环保,0.27
603329,上海雅仕,0.18
002660,茂硕电源,0.11
002079,苏州固锝,0.09
000301,东方盛虹,0.08
601001,晋控煤业,0.05
600739,辽宁成大,0.0
600185,珠免集团,0.0
002563,森马服饰,0.0
001205,盛航股份,0.0
600676,交运股份,0.0
002203,海亮股份,-0.06
601177,杭齿前进,-0.06
002215,诺 普 信,-0.09
600727,鲁北化工,-0.12
601777,千里科技,-0.18
000407,胜利股份,-0.21
605077,华康股份,-0.23
002176,江特电机,-0.25
601699,潞安环能,-0.25
000039,中集集团,-0.32
000544,中原环保,-0.35
002818,富森美,-0.65
603719,良品铺子,-0.72
000685,中山公用,-0.85
600561,江西长运,-0.86
603317,天味食品,-0.87
600281,华阳新材,-0.88
002867,周大生,-0.9
600186,莲花控股,-0.92
000598,兴蓉环境,-1.0
000695,滨海能源,-1.02
002283,天润工业,-1.06
001914,招商积余,-1.25
000589,贵州轮胎,-1.37
000973,佛塑科技,-1.41
002136,安 纳 达,-1.44
600884,杉杉股份,-1.48
002115,三维通信,-1.84
603318,水发燃气,-1.99
002890,弘宇股份,-2.02
601789,宁波建工,-2.32
601969,海南矿业,-2.47
000600,建投能源,-2.66
600773,西藏城投,-3.2
600156,华升股份,-3.31
605006,山东玻纤,-3.63
002386,天原股份,-3.98
603538,美诺华,-4.35
002340,格林美,-5.19
000593,德龙汇能,-5.28
