代码,名称,今日涨幅
600268,国电南自,10.03
000862,银星能源,10.0
002053,云南能投,7.79
600546,山煤国际,5.8
601118,海南橡胶,5.79
000993,闽东电力,5.46
600188,兖矿能源,5.19
603070,万控智造,5.1
601898,中煤能源,5.02
600590,泰豪科技,5.01
002667,威领股份,4.91
603588,高能环境,4.63
600127,金健米业,4.08
601611,中国核建,4.05
601001,晋控煤业,4.01
600603,广汇物流,3.95
000967,盈峰环境,3.76
603778,国晟科技,3.57
600468,百利电气,3.55
002366,融发核电,3.47
600470,六国化工,3.35
605377,华旺科技,3.35
002631,德尔未来,3.12
002648,卫星化学,2.94
000155,川能动力,2.89
600773,西藏城投,2.61
600397,江钨装备,2.4
600973,宝胜股份,1.98
603776,永安行,1.75
002805,丰元股份,1.68
000695,滨海能源,1.65
601700,风范股份,1.62
600379,宝光股份,1.53
605066,天正电气,1.44
600192,长城电工,1.4
600732,爱旭股份,1.26
600886,国投电力,1.23
000803,山高环能,1.06
002198,嘉应制药,0.93
002560,通达股份,0.71
002571,德力股份,0.62
600163,中闽能源,0.61
002877,智能自控,0.46
600846,同济科技,0.37
002783,凯龙股份,0.0
000600,建投能源,0.0
000830,鲁西化工,-0.2
603218,日月股份,-0.21
002556,辉隆股份,-0.43
603227,雪峰科技,-0.55
600578,京能电力,-1.08
002749,国光股份,-1.13
001338,永顺泰,-1.3
600233,圆通速递,-1.44
600929,雪天盐业,-1.53
603878,武进不锈,-1.59
600722,金牛化工,-2.22
603269,海鸥股份,-3.78
002800,天顺股份,-3.82
002478,常宝股份,-4.4
