代码,名称,今日涨幅
002193,如意集团,10.05
002696,百洋股份,10.04
001258,立新能源,10.03
603758,秦安股份,10.02
600722,金牛化工,10.02
002458,益生股份,10.02
002900,哈三联,10.01
600371,万向德农,10.01
002112,三变科技,10.01
002580,圣阳股份,10.01
002474,榕基软件,10.0
600326,西藏天路,10.0
002748,世龙实业,9.99
002909,集泰股份,9.97
002248,华东数控,9.96
600356,恒丰纸业,9.95
601700,风范股份,9.94
002769,普路通,9.94
000911,广农糖业,8.79
600267,海正药业,8.62
600784,鲁银投资,7.87
002612,朗姿股份,7.79
002623,亚玛顿,7.59
600230,沧州大化,7.06
002319,乐通股份,6.88
001216,华瓷股份,6.69
000953,河化股份,6.64
600967,内蒙一机,6.55
603331,百达精工,6.43
605599,菜百股份,6.42
002746,仙坛股份,6.14
600359,新农开发,6.13
600058,五矿发展,6.1
000812,陕西金叶,6.09
002114,罗平锌电,6.09
603808,歌力思,6.09
000636,风华高科,5.85
000757,浩物股份,5.64
600615,鑫源智造,5.61
603990,麦迪科技,5.51
605218,伟时电子,5.5
600463,空港股份,5.36
002798,帝欧水华,5.31
002165,红 宝 丽,5.29
002614,奥佳华,5.24
603839,安正时尚,5.21
603029,天鹅股份,5.2
603727,博迈科,5.2
002144,宏达高科,5.15
601827,三峰环境,5.11
600561,江西长运,5.09
001219,青岛食品,5.03
603108,润达医疗,5.03
605158,华达新材,4.96
000017,深中华A,4.82
600235,民丰特纸,4.77
002302,西部建设,4.73
600379,宝光股份,4.7
002440,闰土股份,4.68
002455,百川股份,4.68
002802,洪汇新材,4.63
002645,华宏科技,4.63
603700,宁水集团,4.61
601666,平煤股份,4.59
605138,盛泰集团,4.58
603511,爱慕股份,4.54
000605,渤海股份,4.51
603182,嘉华股份,4.48
000798,中水渔业,4.46
603759,海天股份,4.43
601116,三江购物,4.42
603896,寿仙谷,4.35
000721,西安饮食,4.33
600746,江苏索普,4.33
000782,恒申新材,4.32
603676,卫信康,4.3
000533,顺钠股份,4.29
002556,辉隆股份,4.29
600078,澄星股份,4.25
600916,中国黄金,4.25
603023,威帝股份,4.18
000837,秦川机床,4.17
000702,正虹科技,4.17
603208,江山欧派,4.16
002986,宇新股份,4.15
002890,弘宇股份,4.14
605122,四方新材,4.14
601121,宝地矿业,4.1
000153,丰原药业,4.1
603073,彩蝶实业,4.1
000663,永安林业,4.09
000626,远大控股,4.06
605001,威奥股份,4.03
002678,珠江钢琴,4.03
002451,摩恩电气,4.02
603527,众源新材,4.0
603079,圣达生物,4.0
600097,开创国际,3.98
600706,曲江文旅,3.95
603995,甬金股份,3.95
002910,庄园牧场,3.92
002836,新宏泽,3.92
603330,天洋新材,3.92
603237,五芳斋,3.91
600249,两面针,3.9
603168,莎普爱思,3.9
002780,三夫户外,3.9
600128,苏豪弘业,3.89
002661,克明食品,3.87
002833,弘亚数控,3.87
603937,丽岛新材,3.86
600415,小商品城,3.85
600738,丽尚国潮,3.84
601958,金钼股份,3.83
002299,圣农发展,3.82
002539,云图控股,3.81
002480,新筑股份,3.79
605177,东亚药业,3.76
605567,春雪食品,3.75
002381,双箭股份,3.75
002207,准油股份,3.74
600969,郴电国际,3.74
603329,上海雅仕,3.73
000548,湖南投资,3.69
000735,罗 牛 山,3.69
603323,苏农银行,3.68
000633,合金投资,3.68
