代码,名称,今日涨幅
600371,万向德农,10.05
002041,登海种业,10.04
603103,横店影视,10.01
002995,天地在线,10.01
600667,太极实业,10.0
002952,亚世光电,10.0
600354,敦煌种业,10.0
605151,西上海,9.99
603861,白云电器,9.99
002455,百川股份,9.98
603010,万盛股份,9.97
600313,农发种业,9.96
002491,通鼎互联,9.94
600916,中国黄金,8.74
603926,铁流股份,7.99
002809,红墙股份,7.5
605337,李子园,7.12
603162,海通发展,6.96
603958,哈森股份,6.44
002440,闰土股份,6.42
600522,中天科技,6.03
600618,氯碱化工,5.86
603316,诚邦股份,5.63
603868,飞科电器,5.5
600226,亨通股份,5.47
000998,隆平高科,5.42
600452,涪陵电力,5.34
002531,天顺风能,4.93
600510,黑牡丹,4.88
002457,青龙管业,4.52
002930,宏川智慧,4.44
600230,沧州大化,4.42
002438,江苏神通,4.42
002395,双象股份,4.37
600761,安徽合力,4.3
000782,恒申新材,4.25
002094,青岛金王,4.17
603002,宏昌电子,4.16
000713,国投丰乐,3.94
002703,浙江世宝,3.92
600897,厦门空港,3.9
603176,汇通集团,3.76
600598,北大荒,3.73
600493,凤竹纺织,3.67
601233,桐昆股份,3.6
603725,天安新材,3.55
000815,美利云,3.41
603599,广信股份,3.23
605155,西大门,3.09
000301,东方盛虹,3.04
603515,欧普照明,2.95
603029,天鹅股份,2.9
002119,康强电子,2.77
600469,风神股份,2.73
000821,京山轻机,2.7
000599,青岛双星,2.65
603324,盛剑科技,2.6
002999,天禾股份,2.55
002185,华天科技,2.5
002588,史丹利,2.42
601952,苏垦农发,2.33
600640,国脉文化,2.23
001316,润贝航科,2.21
603041,美思德,2.1
605007,五洲特纸,2.1
002957,科瑞技术,2.03
603181,皇马科技,2.01
002338,奥普光电,1.99
001210,金房能源,1.94
600388,龙净环保,1.84
603230,内蒙新华,1.78
002541,鸿路钢构,1.75
603980,吉华集团,1.71
600127,金健米业,1.68
600470,六国化工,1.62
001322,箭牌家居,1.52
002367,康力电梯,1.51
002734,利民股份,1.48
600722,金牛化工,1.39
000558,天府文旅,1.33
600970,中材国际,1.33
603326,我乐家居,1.3
603058,永吉股份,1.3
603685,晨丰科技,1.28
601857,中国石油,1.19
601968,宝钢包装,1.17
601339,百隆东方,1.14
002493,荣盛石化,1.1
002003,伟星股份,1.06
600725,云维股份,0.99
000983,山西焦煤,0.97
605090,九丰能源,0.92
600770,综艺股份,0.9
600116,三峡水利,0.88
600926,杭州银行,0.81
601107,四川成渝,0.79
000930,中粮科技,0.75
002096,易普力,0.71
002144,宏达高科,0.67
002911,佛燃能源,0.64
002116,中国海诚,0.55
601665,齐鲁银行,0.52
600026,中远海能,0.51
600007,中国国贸,0.49
002624,完美世界,0.37
601298,青岛港,0.32
600623,华谊集团,0.3
002258,利尔化学,0.28
600929,雪天盐业,0.16
000863,三湘印象,0.15
601077,渝农商行,0.15
603855,华荣股份,0.05
601969,海南矿业,0.0
000429,粤高速Ａ,0.0
000089,深圳机场,0.0
002861,瀛通通讯,-0.15
603311,金海高科,-0.18
601838,成都银行,-0.19
600821,金开新能,-0.33
601555,东吴证券,-0.42
002372,伟星新材,-0.48
603898,好莱客,-0.51
002207,准油股份,-0.54
600869,远东股份,-0.57
603798,康普顿,-0.6
600778,友好集团,-0.68
605399,晨光新材,-0.79
603578,三星新材,-0.82
002757,南兴股份,-0.83
603279,景津装备,-1.13
603271,永杰新材,-1.4
002782,可立克,-1.49
600352,浙江龙盛,-1.62
600817,宇通重工,-2.06
603488,展鹏科技,-2.06
002170,芭田股份,-2.12
000951,中国重汽,-2.57
002131,利欧股份,-2.61
600076,康欣新材,-2.63
002575,群兴玩具,-2.7
001979,招商蛇口,-2.85
002043,兔 宝 宝,-3.12
002548,金新农,-3.17
002244,滨江集团,-3.41
002271,东方雨虹,-3.73
600481,双良节能,-4.0
002945,华林证券,-4.07
603601,再升科技,-4.87
002623,亚玛顿,-4.93
000554,泰山石油,-5.26
002064,华峰化学,-5.85
600059,古越龙山,-6.34
601118,海南橡胶,-6.38
002853,皮阿诺,-7.04
002828,贝肯能源,-9.97
002237,恒邦股份,-9.98
000506,招金黄金,-9.99
002667,威领股份,-10.0
600531,豫光金铅,-10.0
000630,铜陵有色,-10.01
601212,白银有色,-10.01
