代码,名称,今日涨幅
002131,利欧股份,10.05
002195,岩山科技,10.05
002088,鲁阳节能,10.04
002413,雷科防务,10.0
603488,展鹏科技,10.0
600552,凯盛科技,9.99
603339,四方科技,9.97
002659,凯文教育,9.95
603108,润达医疗,8.53
002757,南兴股份,8.0
600775,南京熊猫,7.24
600120,浙江东方,7.08
002777,久远银海,7.04
000987,越秀资本,7.01
600589,大位科技,6.5
002908,德生科技,6.02
002177,御银股份,5.98
600602,云赛智联,5.51
002296,辉煌科技,5.47
002649,博彦科技,5.27
002232,启明信息,4.59
603466,风语筑,4.43
002010,传化智联,3.98
603012,创力集团,3.46
600826,兰生股份,3.24
600178,东安动力,2.92
600955,维远股份,2.83
002945,华林证券,2.58
600055,万东医疗,2.53
000650,仁和药业,2.15
002148,北纬科技,1.72
603038,华立股份,1.46
002875,安奈儿,1.14
600403,大有能源,0.99
600587,新华医疗,0.92
002833,弘亚数控,0.48
000026,飞亚达,0.06
600348,华阳股份,-0.12
603229,奥翔药业,-0.58
600236,桂冠电力,-0.74
603916,苏博特,-1.07
600722,金牛化工,-1.19
603116,红蜻蜓,-1.33
001210,金房能源,-1.54
002208,合肥城建,-2.36
603877,太平鸟,-3.19
002774,快意电梯,-5.08
603037,凯众股份,-6.79
