代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
002753,永东股份,筑底/平量,连跌0天首红,6.62,0.49,18.8,14.2%,-0.8%
002296,辉煌科技,筑底/平量,连跌0天首红,10.18,0.58,28.5,13.0%,-0.3%
000928,中钢国际,筑底/平量,连跌0天首红,6.01,0.61,29.3,11.4%,-0.7%
002274,华昌化工,筑底/平量,连跌0天首红,5.74,0.72,29.7,12.6%,-0.2%
603291,联合水务,筑底/平量,连跌0天首红,10.56,0.76,29.9,11.7%,0.2%
000683,博源化工,筑底/平量,连跌0天首红,7.26,0.76,29.7,17.3%,0.0%
000821,京山轻机,筑底/平量,连跌0天首红,9.06,0.79,23.7,25.3%,1.2%
002040,南 京 港,筑底/平量,连跌0天首红,9.13,0.82,23.6,11.9%,-1.5%
001217,华尔泰,筑底/平量,连跌0天首红,9.97,0.84,28.5,18.6%,-1.2%
600598,北大荒,筑底/平量,连跌0天首红,14.49,0.89,29.2,11.5%,-0.8%
603966,法兰泰克,筑底/平量,连跌0天首红,9.33,0.9,10.7,37.2%,-2.0%
603969,银龙股份,筑底/平量,连跌0天首红,8.12,1.04,28.7,14.3%,0.7%
605050,福然德,筑底/放量,连跌0天首红,11.08,1.13,26.2,15.2%,0.5%
600583,海油工程,筑底/平量,连跌0天首红,5.68,1.19,29.3,18.2%,-0.9%
