代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
002166,莱茵生物,筑底/平量,连跌4天首红,7.48,1.02,22.5,15.9%,1.2%
600299,安迪苏,筑底/平量,连跌2天首红,10.16,1.12,23.8,26.3%,1.2%
003042,中农联合,筑底/平量,连跌1天首红,13.9,0.57,25.7,18.6%,1.5%
603218,日月股份,筑底/平量,连跌1天首红,10.71,0.76,23.3,23.1%,0.8%
002572,索菲亚,筑底/平量,连跌1天首红,8.55,1.0,27.6,35.5%,0.9%
600048,保利发展,筑底/平量,连跌1天首红,5.21,1.04,24.2,14.2%,1.2%
603123,翠微股份,筑底/平量,连跌1天首红,9.13,1.16,18.8,24.0%,1.4%
003040,楚天龙,筑底/平量,连跌0天首红,11.94,0.57,28.0,24.7%,1.3%
002357,富临运业,筑底/平量,连跌0天首红,9.39,0.58,20.7,26.0%,0.6%
605166,聚合顺,筑底/平量,连跌0天首红,9.63,0.74,21.4,11.8%,0.3%
002271,东方雨虹,筑底/平量,连跌0天首红,12.31,0.82,24.8,19.3%,1.5%
002099,海翔药业,筑底/平量,连跌0天首红,5.37,0.85,23.9,19.4%,0.4%
002274,华昌化工,筑底/平量,连跌0天首红,5.26,0.92,24.6,19.2%,1.0%
600106,重庆路桥,筑底/平量,连跌0天首红,5.0,1.01,25.6,14.3%,0.4%
601139,深圳燃气,筑底/平量,连跌0天首红,6.27,1.04,26.5,11.8%,1.1%
600127,金健米业,筑底/平量,连跌0天首红,5.84,1.11,25.0,14.9%,0.9%
