代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
002209,达 意 隆,筑底/平量,连跌1天首红,11.42,0.61,24.1,25.3%,0.4%
000910,大亚圣象,筑底/平量,连跌1天首红,5.89,0.77,26.8,14.2%,0.0%
603071,物产环能,筑底/平量,连跌0天首红,12.2,0.57,28.2,12.7%,-1.7%
600644,乐山电力,筑底/平量,连跌0天首红,10.03,0.59,17.0,16.2%,-0.4%
601798,蓝科高新,筑底/平量,连跌0天首红,7.37,0.66,19.5,17.5%,0.3%
603105,芯能科技,筑底/平量,连跌0天首红,7.8,0.75,27.3,31.0%,0.0%
002480,新筑股份,筑底/平量,连跌0天首红,5.66,0.91,22.7,11.3%,0.9%
002911,佛燃能源,筑底/平量,连跌0天首红,10.48,0.93,20.0,20.7%,0.0%
600651,飞乐音响,筑底/平量,连跌0天首红,6.16,0.94,25.8,10.5%,-0.2%
000570,苏常柴Ａ,筑底/平量,连跌0天首红,5.19,0.97,28.9,14.6%,-0.6%
001258,立新能源,筑底/平量,连跌0天首红,7.91,1.01,8.1,19.6%,0.5%
000537,中绿电,筑底/平量,连跌0天首红,8.72,1.12,18.9,19.3%,1.3%
603700,宁水集团,筑底/平量,连跌0天首红,10.83,1.13,22.0,14.7%,-0.5%
