代码,名称,日期,收盘价,涨跌幅,换手率
600179,安通控股,2025-12-30,5.49,-6.95,8.74
002471,中超控股,2025-12-30,7.51,9.0,12.05
600279,重庆港,2025-12-30,5.61,1.08,3.38
002383,合众思壮,2025-12-30,13.27,10.03,16.26
002429,兆驰股份,2025-12-30,7.61,-1.55,1.96
002842,翔鹭钨业,2025-12-30,14.7,-1.14,15.12
002413,雷科防务,2025-12-30,11.41,10.03,16.53
002591,恒大高新,2025-12-30,9.02,10.0,3.78
000551,创元科技,2025-12-30,14.15,-7.33,21.53
603601,再升科技,2025-12-30,11.94,-5.69,25.87
688033,天宜新材,2025-12-30,7.66,-4.25,6.26
600966,博汇纸业,2025-12-30,6.91,1.02,2.53
601969,海南矿业,2025-12-30,11.84,-4.05,4.68
600577,精达股份,2025-12-30,11.99,-1.24,4.29
000985,大庆华科,2025-12-30,19.37,-1.07,4.64
003016,欣贺股份,2025-12-30,9.96,-6.92,8.63
603305,旭升集团,2025-12-30,16.74,2.57,10.31
600550,保变电气,2025-12-30,10.85,-1.27,4.82
000593,德龙汇能,2025-12-30,11.21,-4.19,5.53
000505,京粮控股,2025-12-30,8.66,-3.88,10.48
002297,博云新材,2025-12-30,11.72,-4.95,21.27
002378,章源钨业,2025-12-30,14.44,-1.37,4.23
600475,华光环能,2025-12-30,18.39,-2.85,2.15
002560,通达股份,2025-12-30,9.97,-3.48,17.17
600330,天通股份,2025-12-30,12.77,-3.04,13.38
002909,集泰股份,2025-12-30,7.04,0.86,10.53
002169,智光电气,2025-12-30,12.24,4.44,14.64
603680,今创集团,2025-12-30,15.87,-3.93,2.5
002769,普路通,2025-12-30,11.83,-2.79,7.83
603278,大业股份,2025-12-30,15.49,10.01,7.68
603660,苏州科达,2025-12-30,10.48,-2.15,5.6
002228,合兴包装,2025-12-30,5.13,-10.0,1.69
000036,华联控股,2025-12-30,6.74,-4.13,16.28
002810,山东赫达,2025-12-30,14.85,-1.0,3.58
601279,英利汽车,2025-12-30,5.3,-2.39,2.62
002631,德尔未来,2025-12-30,5.98,-3.39,3.51
002951,金时科技,2025-12-30,15.39,-5.0,3.46
002394,联发股份,2025-12-30,15.42,1.65,4.0
000859,国风新材,2025-12-30,10.77,-2.71,20.48
