code,name
000419,通程控股
000429,粤高速Ａ
000582,北部湾港
000703,恒逸石化
000798,中水渔业
000919,金陵药业
000950,重药控股
000968,蓝焰控股
000989,九芝堂
002019,亿帆医药
002022,科华生物
002099,海翔药业
002180,纳思达
002242,九阳股份
002250,联化科技
002274,华昌化工
002299,圣农发展
002302,西部建设
002327,富安娜
002332,仙琚制药
002349,精华制药
002365,永安药业
002399,海普瑞
002480,新筑股份
002539,云图控股
002588,史丹利
002612,朗姿股份
002649,博彦科技
002661,克明食品
002675,东诚药业
002698,博实股份
002724,海洋王
002727,一心堂
002746,仙坛股份
002749,国光股份
002900,哈三联
003039,顺控发展
003040,楚天龙
600028,中国石化
600059,古越龙山
600073,光明肉业
600161,天坛生物
600223,福瑞达
600249,两面针
600251,冠农股份
600267,海正药业
600326,西藏天路
600352,浙江龙盛
600356,恒丰纸业
600403,大有能源
600521,华海药业
600613,神奇制药
600628,新世界
600698,湖南天雁
600746,江苏索普
600765,中航重机
600784,鲁银投资
600812,华北制药
600829,人民同泰
600916,中国黄金
600975,新五丰
600987,航民股份
601083,锦江航运
601086,国芳集团
601101,昊华能源
601121,宝地矿业
601156,东航物流
601700,风范股份
601827,三峰环境
601886,江河集团
603027,千禾味业
603043,广州酒家
603123,翠微股份
603151,邦基科技
603161,科华控股
603209,兴通股份
603237,五芳斋
603331,百达精工
603456,九洲药业
603569,长久物流
603727,博迈科
603883,老百姓
603987,康德莱
603997,继峰股份
605007,五洲特纸
605050,福然德
605108,同庆楼
605158,华达新材
605189,富春染织
605266,健之佳
605388,均瑶健康
605599,菜百股份
