代码,名称,今日涨幅
600724,宁波富达,10.07
002642,荣联科技,10.06
002866,传艺科技,10.01
603636,南威软件,10.0
002208,合肥城建,10.0
603618,杭电股份,10.0
600078,澄星股份,9.99
600857,宁波中百,9.99
000582,北部湾港,9.98
002277,友阿股份,9.95
002520,日发精机,9.93
603010,万盛股份,8.46
603637,镇海股份,7.98
600353,旭光电子,7.76
603915,国茂股份,7.43
605222,起帆电缆,7.31
001313,粤海饲料,6.79
002600,领益智造,6.7
601882,海天精工,6.63
000026,飞亚达,6.3
601609,金田股份,5.96
002755,奥赛康,5.91
603488,展鹏科技,5.8
000791,甘肃能源,5.75
001210,金房能源,5.7
605369,拱东医疗,5.49
002861,瀛通通讯,5.42
600319,亚星化学,5.42
600207,安彩高科,5.14
603916,苏博特,5.09
002429,兆驰股份,5.05
002522,浙江众成,4.95
600586,金晶科技,4.8
002490,山东墨龙,4.73
002350,北京科锐,4.7
600776,东方通信,4.52
600610,中毅达,4.45
002677,浙江美大,4.43
002676,顺威股份,4.35
002757,南兴股份,4.24
600088,中视传媒,4.23
603938,三孚股份,4.11
002009,天奇股份,4.08
605055,迎丰股份,4.04
002295,精艺股份,3.86
603116,红蜻蜓,3.83
000815,美利云,3.75
002153,石基信息,3.58
000417,合百集团,3.32
003025,思进智能,3.29
600463,空港股份,3.19
603017,中衡设计,3.15
600707,彩虹股份,3.06
600961,株冶集团,3.03
600189,泉阳泉,3.03
603165,荣晟环保,2.99
603166,福达股份,2.96
002921,联诚精密,2.88
603777,来伊份,2.88
000636,风华高科,2.86
603158,腾龙股份,2.85
000565,渝三峡Ａ,2.78
002855,捷荣技术,2.72
002998,优彩资源,2.72
002708,光洋股份,2.72
605167,利柏特,2.71
002062,宏润建设,2.7
002443,金洲管道,2.7
603025,大豪科技,2.63
603118,共进股份,2.61
600051,宁波联合,2.61
601512,中新集团,2.6
600969,郴电国际,2.56
002331,皖通科技,2.53
600658,电子城,2.51
600235,民丰特纸,2.48
002730,电光科技,2.42
002856,美芝股份,2.4
605077,华康股份,2.3
002480,新筑股份,2.29
002065,东华软件,2.21
600736,苏州高新,2.18
603936,博敏电子,2.17
002863,今飞凯达,2.14
003022,联泓新科,2.12
002878,元隆雅图,2.11
002465,海格通信,2.09
000837,秦川机床,2.08
002249,大洋电机,2.08
600101,明星电力,2.06
603208,江山欧派,2.05
600497,驰宏锌锗,1.97
603848,好太太,1.93
002117,东港股份,1.92
600143,金发科技,1.92
002068,黑猫股份,1.91
002406,远东传动,1.85
001979,招商蛇口,1.84
002194,武汉凡谷,1.84
001205,盛航股份,1.83
600151,航天机电,1.79
603505,金石资源,1.77
603677,奇精机械,1.75
603303,得邦照明,1.74
603976,正川股份,1.7
600133,东湖高新,1.54
000818,航锦科技,1.51
603316,诚邦股份,1.48
002576,通达动力,1.48
603108,润达医疗,1.46
002530,金财互联,1.43
603276,恒兴新材,1.42
600642,申能股份,1.36
600640,国脉文化,1.34
600509,天富能源,1.29
600449,宁夏建材,1.29
600522,中天科技,1.15
002114,罗平锌电,1.07
002603,以岭药业,1.05
600116,三峡水利,1.03
603356,华菱精工,1.0
002055,得润电子,0.99
603002,宏昌电子,0.99
600081,东风科技,0.95
600703,三安光电,0.92
603806,福斯特,0.9
600641,万业企业,0.85
603278,大业股份,0.85
002174,游族网络,0.84
600531,豫光金铅,0.84
600795,国电电力,0.81
002129,TCL中环,0.79
000737,北方铜业,0.74
000543,皖能电力,0.72
603212,赛伍技术,0.68
000795,英洛华,0.64
600552,凯盛科技,0.55
002029,七 匹 狼,0.53
002805,丰元股份,0.53
002654,万润科技,0.52
002167,东方锆业,0.52
603617,君禾股份,0.52
601177,杭齿前进,0.48
603206,嘉环科技,0.46
000950,重药控股,0.45
600167,联美控股,0.44
600163,中闽能源,0.43
603066,音飞储存,0.42
000970,中科三环,0.41
002057,中钢天源,0.41
603928,兴业股份,0.36
600651,飞乐音响,0.28
000156,华数传媒,0.26
601033,永兴股份,0.25
605377,华旺科技,0.2
001356,富岭股份,0.18
002658,雪迪龙,0.1
000878,云南铜业,0.05
002591,恒大高新,0.0
002342,巨力索具,-0.05
603178,圣龙股份,-0.05
600172,黄河旋风,-0.08
002668,TCL智家,-0.1
000027,深圳能源,-0.14
000875,吉电股份,-0.15
002298,中电鑫龙,-0.18
002063,远光软件,-0.3
600530,交大昂立,-0.38
601360,三六零,-0.43
600446,金证股份,-0.43
605500,森林包装,-0.64
600236,桂冠电力,-0.66
603888,新华网,-0.71
002763,汇洁股份,-0.8
002031,巨轮智能,-0.83
600539,狮头股份,-0.92
002354,天娱数科,-0.94
600855,航天长峰,-1.05
603269,海鸥股份,-1.11
002698,博实股份,-1.19
002643,万润股份,-1.28
603458,勘设股份,-1.4
600226,亨通股份,-1.4
002453,华软科技,-1.41
002596,海南瑞泽,-1.49
600780,通宝能源,-1.55
601566,九牧王,-1.69
605155,西大门,-1.82
600930,华电新能,-1.86
600995,南网储能,-2.24
000553,安道麦A,-3.0
600719,大连热电,-3.09
000066,中国长城,-3.71
002842,翔鹭钨业,-4.43
600667,太极实业,-4.52
600234,科新发展,-4.89
000993,闽东电力,-5.82
600330,天通股份,-6.47
002491,通鼎互联,-8.53
