代码,名称,今日涨幅
600722,金牛化工,10.06
603618,杭电股份,10.03
002207,准油股份,10.02
600230,沧州大化,10.02
002842,翔鹭钨业,10.01
002624,完美世界,10.01
600814,杭州解百,10.0
002772,众兴菌业,9.99
002440,闰土股份,9.99
002455,百川股份,9.97
600987,航民股份,9.95
603958,哈森股份,8.67
001979,招商蛇口,7.31
600352,浙江龙盛,6.18
002945,华林证券,5.9
603103,横店影视,5.5
603868,飞科电器,5.5
600481,双良节能,5.1
000782,恒申新材,4.96
002623,亚玛顿,4.8
600761,安徽合力,4.3
002703,浙江世宝,3.92
603685,晨丰科技,3.84
002491,通鼎互联,3.79
603113,金能科技,3.59
002531,天顺风能,3.48
002734,利民股份,3.13
002861,瀛通通讯,3.06
603725,天安新材,3.01
603115,海星股份,2.92
002969,嘉美包装,2.77
603324,盛剑科技,2.6
002457,青龙管业,2.55
603060,国检集团,2.37
002548,金新农,2.3
001316,润贝航科,2.21
603861,白云电器,2.08
002957,科瑞技术,2.03
600234,科新发展,2.02
000042,中洲控股,2.0
002338,奥普光电,1.99
601968,宝钢包装,1.87
002715,登云股份,1.52
002911,佛燃能源,1.46
603599,广信股份,1.46
001322,箭牌家居,1.39
600493,凤竹纺织,1.35
000757,浩物股份,1.16
603768,常青股份,1.09
600725,云维股份,0.99
600847,万里股份,0.94
002952,亚世光电,0.92
601107,四川成渝,0.92
605090,九丰能源,0.92
002041,登海种业,0.83
603326,我乐家居,0.78
600579,中化装备,0.77
603316,诚邦股份,0.72
603041,美思德,0.68
000815,美利云,0.67
000951,中国重汽,0.67
603176,汇通集团,0.52
002730,电光科技,0.51
002566,益盛药业,0.48
603601,再升科技,0.34
600841,动力新科,0.21
002333,罗普斯金,0.16
601077,渝农商行,0.15
600469,风神股份,0.14
603311,金海高科,0.13
600371,万向德农,0.11
000998,隆平高科,0.1
603980,吉华集团,0.0
601969,海南矿业,0.0
601169,北京银行,0.0
601838,成都银行,-0.06
603137,恒尚节能,-0.21
002367,康力电梯,-0.24
603029,天鹅股份,-0.3
000429,粤高速Ａ,-0.33
601665,齐鲁银行,-0.51
600007,中国国贸,-0.62
002593,日上集团,-0.66
002757,南兴股份,-0.77
600926,杭州银行,-0.78
002910,庄园牧场,-1.01
600377,宁沪高速,-1.06
002129,TCL中环,-1.12
600026,中远海能,-1.18
002144,宏达高科,-1.21
603038,华立股份,-1.24
000089,深圳机场,-1.37
603271,永杰新材,-1.4
603912,佳力图,-1.44
002003,伟星股份,-1.57
600059,古越龙山,-1.58
002930,宏川智慧,-1.59
002271,东方雨虹,-1.64
600313,农发种业,-1.68
603230,内蒙新华,-1.71
002372,伟星新材,-1.75
000592,平潭发展,-1.78
002438,江苏神通,-1.99
603162,海通发展,-2.09
002541,鸿路钢构,-2.2
601298,青岛港,-2.26
002575,群兴玩具,-2.36
002244,滨江集团,-2.4
600076,康欣新材,-2.63
603002,宏昌电子,-2.81
002043,兔 宝 宝,-2.97
600869,远东股份,-3.22
605155,西大门,-3.5
002995,天地在线,-3.8
600897,厦门空港,-6.17
002853,皮阿诺,-7.04
600778,友好集团,-7.4
000599,青岛双星,-7.41
