代码,名称,今日涨幅
600028,中国石化,10.06
000890,法尔胜,10.05
600435,北方导航,10.03
002413,雷科防务,10.02
603738,泰晶科技,10.01
600236,桂冠电力,10.01
002842,翔鹭钨业,10.01
002629,仁智股份,10.0
002667,威领股份,9.99
603861,白云电器,9.98
601872,招商轮船,9.98
601898,中煤能源,9.1
600331,宏达股份,8.69
605366,宏柏新材,8.45
002378,章源钨业,8.23
002795,永和智控,7.21
603162,海通发展,7.01
600188,兖矿能源,6.38
600470,六国化工,6.17
601233,桐昆股份,6.13
603356,华菱精工,6.12
002278,神开股份,5.91
002648,卫星化学,5.65
000811,冰轮环境,5.34
002491,通鼎互联,5.0
002272,川润股份,4.73
601969,海南矿业,4.2
600152,维科技术,3.8
600522,中天科技,3.64
601598,中国外运,3.52
603209,兴通股份,3.39
601919,中远海控,2.86
002493,荣盛石化,2.69
600313,农发种业,2.25
600546,山煤国际,2.21
600039,四川路桥,2.11
605056,咸亨国际,1.97
001299,美能能源,1.96
000520,凤凰航运,1.94
002096,易普力,1.6
600886,国投电力,1.58
002749,国光股份,1.48
600428,中远海特,1.32
603871,嘉友国际,1.28
603227,雪峰科技,1.24
603588,高能环境,1.07
600163,中闽能源,0.78
002348,高乐股份,0.74
002085,万丰奥威,0.67
000967,盈峰环境,0.6
001205,盛航股份,0.59
600057,厦门象屿,0.47
601798,蓝科高新,0.4
002800,天顺股份,0.31
600468,百利电气,0.26
601001,晋控煤业,0.18
002556,辉隆股份,0.15
600603,广汇物流,0.14
600158,中体产业,0.0
000600,建投能源,0.0
603685,晨丰科技,-0.07
600397,江钨装备,-0.14
600063,皖维高新,-0.27
000507,珠海港,-0.36
002340,格林美,-0.4
002730,电光科技,-0.45
002255,海陆重工,-0.46
000582,北部湾港,-0.61
600399,抚顺特钢,-0.64
002534,西子洁能,-0.67
002560,通达股份,-0.72
600523,贵航股份,-0.94
000789,万年青,-1.03
002658,雪迪龙,-1.05
002963,豪尔赛,-1.23
002631,德尔未来,-1.29
603269,海鸥股份,-1.3
000862,银星能源,-1.31
603626,科森科技,-1.33
002724,海洋王,-1.62
000571,新大洲A,-2.17
603177,德创环保,-2.38
603017,中衡设计,-2.56
000993,闽东电力,-2.98
002350,北京科锐,-3.49
600126,杭钢股份,-3.52
002734,利民股份,-4.0
002576,通达动力,-4.05
603070,万控智造,-4.2
002177,御银股份,-4.23
