代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
002492,恒基达鑫,筑底/平量,连跌5天首红,5.49,0.79,11.9,26.3%,1.5%
002909,集泰股份,筑底/平量,连跌5天首红,5.01,0.95,11.3,21.6%,1.4%
000852,石化机械,筑底/平量,连跌2天首红,5.02,1.05,11.1,27.4%,1.2%
603165,荣晟环保,筑底/平量,连跌1天首红,13.12,0.55,20.7,24.2%,0.7%
600583,海油工程,筑底/平量,连跌1天首红,5.07,0.8,16.7,20.9%,0.8%
600956,新天绿能,筑底/平量,连跌1天首红,7.09,0.82,24.2,18.1%,1.4%
002372,伟星新材,筑底/平量,连跌1天首红,8.28,0.86,27.3,19.3%,1.1%
600444,国机通用,筑底/平量,连跌1天首红,13.17,0.88,16.0,22.6%,1.5%
002116,中国海诚,筑底/平量,连跌1天首红,6.86,0.92,24.4,34.8%,1.5%
600173,卧龙新能,筑底/平量,连跌1天首红,5.99,0.95,17.9,16.6%,1.4%
603299,苏盐井神,筑底/平量,连跌1天首红,8.92,1.0,21.2,16.9%,1.5%
000096,广聚能源,筑底/平量,连跌1天首红,7.06,1.02,15.1,24.0%,1.3%
002322,理工能科,筑底/平量,连跌1天首红,9.8,1.08,16.1,23.1%,1.0%
605368,蓝天燃气,筑底/放量,连跌1天首红,6.18,1.12,16.7,19.7%,1.3%
002117,东港股份,筑底/平量,连跌0天首红,7.95,0.63,20.0,20.1%,0.9%
002685,华东重机,筑底/平量,连跌0天首红,6.43,0.65,29.2,22.0%,-0.5%
002469,三维化学,筑底/平量,连跌0天首红,5.79,0.71,15.3,22.9%,1.2%
002590,万安科技,筑底/平量,连跌0天首红,10.01,0.75,17.6,19.2%,0.1%
603098,森特股份,筑底/平量,连跌0天首红,10.53,0.75,20.5,24.6%,-0.2%
605166,聚合顺,筑底/平量,连跌0天首红,9.73,0.75,26.0,10.2%,1.5%
603421,鼎信通讯,筑底/平量,连跌0天首红,6.16,0.8,15.1,24.6%,0.2%
002887,绿茵生态,筑底/平量,连跌0天首红,10.37,0.81,26.6,20.6%,-1.0%
600480,凌云股份,筑底/平量,连跌0天首红,8.4,0.81,19.2,26.8%,1.1%
002284,亚太股份,筑底/平量,连跌0天首红,9.58,0.82,29.3,28.6%,1.0%
603305,旭升集团,筑底/平量,连跌0天首红,12.15,0.82,26.9,22.9%,0.2%
002164,宁波东力,筑底/平量,连跌0天首红,11.86,0.86,25.8,10.4%,0.5%
002825,纳尔股份,筑底/平量,连跌0天首红,8.27,0.86,21.6,22.5%,0.6%
002642,荣联科技,筑底/平量,连跌0天首红,6.23,0.86,18.2,26.0%,1.1%
603041,美思德,筑底/平量,连跌0天首红,10.52,0.88,16.5,20.2%,1.4%
600081,东风科技,筑底/平量,连跌0天首红,9.2,0.9,14.9,18.9%,1.3%
600995,南网储能,筑底/平量,连跌0天首红,12.32,0.92,28.7,14.3%,0.2%
002244,滨江集团,筑底/平量,连跌0天首红,7.71,0.93,27.3,25.3%,1.4%
600969,郴电国际,筑底/平量,连跌0天首红,7.69,0.95,9.8,29.4%,0.8%
000159,国际实业,筑底/平量,连跌0天首红,5.43,0.95,19.7,17.4%,0.9%
002686,亿利达,筑底/平量,连跌0天首红,5.2,0.96,11.6,32.5%,1.0%
600163,中闽能源,筑底/平量,连跌0天首红,5.16,0.96,25.8,20.7%,0.2%
603289,泰瑞机器,筑底/平量,连跌0天首红,8.18,0.97,17.8,31.8%,1.4%
600452,涪陵电力,筑底/平量,连跌0天首红,9.38,0.98,20.4,23.8%,0.5%
002283,天润工业,筑底/平量,连跌0天首红,9.64,0.98,22.7,12.6%,-0.1%
002404,嘉欣丝绸,筑底/放量,连跌0天首红,5.78,0.99,13.3,15.5%,1.0%
002400,省广集团,筑底/平量,连跌0天首红,6.39,0.99,25.0,27.1%,1.3%
600602,云赛智联,筑底/平量,连跌0天首红,16.3,1.01,27.0,27.3%,1.4%
603628,清源股份,筑底/平量,连跌0天首红,9.53,1.01,26.7,22.9%,1.4%
603218,日月股份,筑底/平量,连跌0天首红,10.25,1.02,25.3,20.4%,0.3%
002300,太阳电缆,筑底/平量,连跌0天首红,6.81,1.03,13.5,31.3%,0.7%
600416,湘电股份,筑底/平量,连跌0天首红,9.92,1.03,26.8,18.0%,1.2%
603926,铁流股份,筑底/平量,连跌0天首红,17.51,1.04,26.3,16.6%,-1.0%
002369,卓翼科技,筑底/平量,连跌0天首红,5.46,1.05,14.5,23.1%,0.6%
002576,通达动力,筑底/平量,连跌0天首红,14.27,1.06,15.6,21.4%,0.8%
002339,积成电子,筑底/平量,连跌0天首红,7.0,1.06,15.9,30.4%,1.0%
605162,新中港,筑底/平量,连跌0天首红,7.81,1.06,15.8,43.2%,1.3%
002152,广电运通,筑底/平量,连跌0天首红,9.48,1.08,23.7,16.3%,1.1%
603331,百达精工,筑底/平量,连跌0天首红,10.8,1.09,24.7,26.4%,1.3%
600126,杭钢股份,筑底/平量,连跌0天首红,6.19,1.12,21.4,33.6%,1.0%
600135,乐凯胶片,筑底/平量,连跌0天首红,8.02,1.15,27.8,24.6%,0.4%
002091,江苏国泰,筑底/平量,连跌0天首红,7.24,1.16,25.0,20.1%,0.1%
