代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
601886,江河集团,筑底/平量,连跌11天首红,8.06,1.12,19.6,13.0%,1.4%
002608,江苏国信,筑底/平量,连跌1天首红,7.04,0.64,30.0,17.2%,1.4%
600192,长城电工,筑底/平量,连跌1天首红,6.61,0.73,24.0,18.9%,1.4%
600478,科力远,筑底/平量,连跌1天首红,5.07,0.73,26.8,28.5%,1.0%
000027,深圳能源,筑底/平量,连跌1天首红,6.27,0.77,19.7,13.0%,1.1%
000928,中钢国际,筑底/平量,连跌1天首红,5.04,0.77,18.9,23.1%,0.8%
002846,英联股份,筑底/平量,连跌1天首红,10.77,0.79,27.1,25.6%,1.3%
600098,广州发展,筑底/平量,连跌1天首红,6.1,0.8,29.1,16.5%,1.5%
000875,吉电股份,筑底/平量,连跌1天首红,5.15,1.18,25.9,22.9%,0.8%
001216,华瓷股份,筑底/平量,连跌0天首红,14.63,0.73,22.1,17.4%,0.9%
603599,广信股份,筑底/平量,连跌0天首红,9.86,0.74,29.5,23.6%,-0.3%
600292,远达环保,筑底/平量,连跌0天首红,12.48,0.8,23.2,16.3%,-0.2%
601998,中信银行,筑底/平量,连跌0天首红,6.99,0.92,24.4,11.9%,0.4%
002357,富临运业,筑底/平量,连跌0天首红,9.11,0.94,23.3,17.6%,0.7%
