代码,名称,今日涨幅
603637,镇海股份,10.02
601061,中信金属,10.02
002194,武汉凡谷,10.02
601512,中新集团,10.02
003018,金富科技,10.01
000811,冰轮环境,10.01
002636,金安国纪,10.0
600330,天通股份,9.99
002201,九鼎新材,9.98
600736,苏州高新,9.97
002418,康盛股份,9.95
600961,株冶集团,9.17
002429,兆驰股份,8.37
605077,华康股份,7.42
600522,中天科技,7.34
600638,新黄浦,7.21
002237,恒邦股份,7.13
600338,西藏珠峰,7.09
603112,华翔股份,6.93
600552,凯盛科技,6.88
002297,博云新材,6.85
002531,天顺风能,6.79
600531,豫光金铅,6.7
002667,威领股份,6.33
603328,依顿电子,6.2
600186,莲花控股,6.18
601311,骆驼股份,6.05
600497,驰宏锌锗,5.9
002176,江特电机,5.81
002413,雷科防务,5.65
600776,东方通信,5.49
000829,天音控股,5.0
603118,共进股份,4.99
003036,泰坦股份,4.9
600707,彩虹股份,4.85
600510,黑牡丹,4.81
605222,起帆电缆,4.8
002392,北京利尔,4.59
603333,尚纬股份,4.53
002752,昇兴股份,4.49
603926,铁流股份,4.47
603685,晨丰科技,4.33
002600,领益智造,4.25
603633,徕木股份,4.1
603668,天马科技,4.08
000338,潍柴动力,3.9
603938,三孚股份,3.87
000810,创维数字,3.8
002293,罗莱生活,3.73
002887,绿茵生态,3.7
603586,金麒麟,3.67
601007,金陵饭店,3.46
002283,天润工业,3.43
002446,盛路通信,3.32
600156,华升股份,3.27
600973,宝胜股份,3.27
002136,安 纳 达,3.26
002209,达 意 隆,3.15
600601,方正科技,3.14
600889,南京化纤,3.11
002617,露笑科技,3.11
600110,诺德股份,3.1
002203,海亮股份,3.05
603788,宁波高发,3.04
603776,永安行,3.04
600888,新疆众和,3.0
600678,四川金顶,2.95
002866,传艺科技,2.82
002491,通鼎互联,2.81
601958,金钼股份,2.8
000758,中色股份,2.71
002515,金字火腿,2.66
002845,同兴达,2.61
603989,艾华集团,2.58
603915,国茂股份,2.53
605006,山东玻纤,2.51
600667,太极实业,2.5
603738,泰晶科技,2.45
000925,众合科技,2.43
603303,得邦照明,2.43
600884,杉杉股份,2.43
000823,超声电子,2.36
002846,英联股份,2.33
605166,聚合顺,2.3
002245,蔚蓝锂芯,2.28
600901,江苏金租,2.28
002212,天融信,2.24
000567,海德股份,2.23
605555,德昌股份,2.23
000739,普洛药业,2.22
603638,艾迪精密,2.21
000682,东方电子,2.2
002079,苏州固锝,2.2
600100,同方股份,2.14
000551,创元科技,2.07
600189,泉阳泉,2.0
000301,东方盛虹,1.97
002579,中京电子,1.97
002406,远东传动,1.97
601965,中国汽研,1.94
600610,中毅达,1.94
600490,鹏欣资源,1.92
600233,圆通速递,1.87
603533,掌阅科技,1.87
600459,贵研铂业,1.86
002064,华峰化学,1.86
601636,旗滨集团,1.83
000404,长虹华意,1.76
002324,普利特,1.75
600064,南京高科,1.75
002115,三维通信,1.73
600388,龙净环保,1.73
002449,国星光电,1.72
002386,天原股份,1.69
002091,江苏国泰,1.68
000685,中山公用,1.67
002012,凯恩股份,1.55
002373,千方科技,1.53
002276,万马股份,1.52
600640,国脉文化,1.48
002171,楚江新材,1.44
600007,中国国贸,1.43
600203,福日电子,1.41
600237,铜峰电子,1.4
603602,纵横通信,1.36
603515,欧普照明,1.35
601677,明泰铝业,1.32
603116,红蜻蜓,1.24
600573,惠泉啤酒,1.2
603282,亚光股份,1.17
002395,双象股份,1.15
600737,中粮糖业,1.09
002340,格林美,1.06
603172,万丰股份,1.03
603155,新亚强,1.03
000987,越秀资本,0.99
600182,S佳通,0.96
000532,华金资本,0.88
002601,龙佰集团,0.85
603332,苏州龙杰,0.84
002643,万润股份,0.83
600191,华资实业,0.78
002637,赞宇科技,0.72
600023,浙能电力,0.7
603330,天洋新材,0.7
603231,索宝蛋白,0.62
603289,泰瑞机器,0.58
002571,德力股份,0.49
002327,富安娜,0.42
002348,高乐股份,0.4
603178,圣龙股份,0.38
000060,中金岭南,0.29
600478,科力远,0.26
000819,岳阳兴长,0.23
002669,康达新材,0.14
002582,好想你,0.08
000970,中科三环,0.0
003000,劲仔食品,0.0
600366,宁波韵升,0.0
600662,外服控股,0.0
000920,沃顿科技,-0.08
002331,皖通科技,-0.12
603126,中材节能,-0.12
600210,紫江企业,-0.14
002746,仙坛股份,-0.16
601098,中南传媒,-0.18
002843,泰嘉股份,-0.19
002668,TCL智家,-0.2
002414,高德红外,-0.21
600595,中孚实业,-0.23
002774,快意电梯,-0.25
002234,民和股份,-0.57
603078,江化微,-0.62
002722,物产金轮,-0.72
603161,科华控股,-0.74
000801,四川九洲,-0.76
603025,大豪科技,-0.79
002039,黔源电力,-0.91
600618,氯碱化工,-0.98
601886,江河集团,-1.0
603815,交建股份,-1.27
001366,播恩集团,-1.39
603132,金徽股份,-1.64
002565,顺灏股份,-1.66
603339,四方科技,-1.72
002950,奥美医疗,-1.81
002972,科安达,-1.84
002345,潮宏基,-1.96
603466,风语筑,-2.29
603177,德创环保,-2.49
603278,大业股份,-3.17
603135,中重科技,-3.22
002763,汇洁股份,-3.27
603335,迪生力,-4.07
000715,中兴商业,-4.15
000802,北京文化,-4.93
002982,湘佳股份,-5.6
002342,巨力索具,-5.93
