代码,名称,今日涨幅
603045,福达合金,10.01
600458,时代新材,10.0
002824,和胜股份,9.99
002051,中工国际,9.9
002972,科安达,8.67
003036,泰坦股份,8.66
000636,风华高科,8.58
600176,中国巨石,8.46
603065,宿迁联盛,7.84
000510,新金路,7.7
603020,爱普股份,7.58
002842,翔鹭钨业,6.75
600459,贵研铂业,6.5
600226,亨通股份,6.06
600909,华安证券,5.4
600596,新安股份,5.09
603311,金海高科,4.43
000795,英洛华,4.2
002125,湘潭电化,4.19
002171,楚江新材,4.14
600667,太极实业,3.81
003022,联泓新科,3.78
002167,东方锆业,3.66
601958,金钼股份,2.89
600198,大唐电信,2.77
003013,地铁设计,2.65
603527,众源新材,2.62
002815,崇达技术,2.54
600999,招商证券,2.32
002258,利尔化学,1.97
603225,新凤鸣,1.87
002378,章源钨业,1.28
002106,莱宝高科,1.2
603328,依顿电子,1.05
600516,方大炭素,0.5
000920,沃顿科技,0.42
000520,凤凰航运,0.22
603995,甬金股份,0.19
000823,超声电子,0.05
002522,浙江众成,-0.13
601985,中国核电,-0.22
603335,迪生力,-0.56
600906,财达证券,-0.82
603856,东宏股份,-1.02
002203,海亮股份,-1.17
000630,铜陵有色,-1.17
002119,康强电子,-1.48
603212,赛伍技术,-1.9
000151,中成股份,-2.31
002286,保龄宝,-2.64
601233,桐昆股份,-2.68
001896,豫能控股,-2.82
002674,兴业科技,-3.84
