代码,名称,今日涨幅
603387,基蛋生物,10.01
600829,人民同泰,10.01
603137,恒尚节能,10.01
002412,汉森制药,9.49
002107,沃华医药,7.92
002250,联化科技,7.75
600992,贵绳股份,7.58
600513,联环药业,7.46
000739,普洛药业,7.23
002923,润都股份,6.97
002317,众生药业,6.87
002541,鸿路钢构,6.83
000860,顺鑫农业,6.45
601339,百隆东方,6.42
002292,奥飞娱乐,6.28
000989,九芝堂,5.49
603456,九洲药业,5.37
601918,新集能源,5.26
600507,方大特钢,4.8
600535,天士力,4.8
600084,中信尼雅,4.46
000990,诚志股份,4.37
603367,辰欣药业,4.17
603170,宝立食品,4.08
002907,华森制药,4.06
600839,四川长虹,4.06
002020,京新药业,3.94
000950,重药控股,3.71
600587,新华医疗,3.67
600867,通化东宝,3.49
000089,深圳机场,3.46
600267,海正药业,3.36
002216,三全食品,3.26
600327,大东方,3.15
600812,华北制药,3.11
002332,仙琚制药,3.08
002078,太阳纸业,3.03
601058,赛轮轮胎,3.01
600073,光明肉业,2.95
603998,方盛制药,2.94
002550,千红制药,2.85
603466,风语筑,2.84
603569,长久物流,2.83
002701,奥瑞金,2.78
603676,卫信康,2.76
600351,亚宝药业,2.75
000650,仁和药业,2.75
000153,丰原药业,2.7
600997,开滦股份,2.7
002019,亿帆医药,2.65
000729,燕京啤酒,2.64
002728,特一药业,2.62
002399,海普瑞,2.54
600380,健康元,2.53
002252,上海莱士,2.49
600557,康缘药业,2.47
002746,仙坛股份,2.44
002737,葵花药业,2.44
600613,神奇制药,2.4
600062,华润双鹤,2.31
002867,周大生,2.31
601019,山东出版,2.29
603229,奥翔药业,2.27
002234,民和股份,2.22
600886,国投电力,2.18
002675,东诚药业,2.14
600479,千金药业,2.14
600420,国药现代,2.13
600674,川投能源,2.09
605266,健之佳,2.08
000919,金陵药业,2.04
600129,太极集团,1.99
002697,红旗连锁,1.97
003000,劲仔食品,1.82
603309,维力医疗,1.81
603707,健友股份,1.78
603128,华贸物流,1.71
000597,东北制药,1.69
002603,以岭药业,1.69
002511,中顺洁柔,1.68
002007,华兰生物,1.68
603609,禾丰股份,1.67
002275,桂林三金,1.64
603577,汇金通,1.6
601607,上海医药,1.57
000848,承德露露,1.56
002500,山西证券,1.5
600056,中国医药,1.47
600223,福瑞达,1.46
002481,双塔食品,1.44
002926,华西证券,1.43
600167,联美控股,1.38
002349,精华制药,1.32
600918,中泰证券,1.24
002774,快意电梯,1.11
600621,华鑫股份,1.08
603858,步长制药,1.07
603987,康德莱,1.07
601816,京沪高铁,1.06
600272,开开实业,0.97
600007,中国国贸,0.9
603566,普莱柯,0.86
002267,陕天然气,0.85
600236,桂冠电力,0.7
000800,一汽解放,0.64
002889,东方嘉盛,0.62
600713,南京医药,0.56
601928,凤凰传媒,0.43
002293,罗莱生活,0.09
600025,华能水电,0.0
600676,交运股份,-0.28
600521,华海药业,-0.47
600422,昆药集团,-0.79
600998,九州通,-0.96
601827,三峰环境,-1.14
002563,森马服饰,-1.22
600333,长春燃气,-1.24
603012,创力集团,-1.63
603233,大参林,-2.18
002038,双鹭药业,-5.11
603313,梦百合,-7.68
