代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
603311,金海高科,2026-05-18,25.41,10.0%,2.36,9.62
003018,金富科技,2026-05-18,65.05,9.99%,1.54,8.73
000636,风华高科,2026-05-18,29.43,9.0%,1.22,10.39
603093,南华期货,2026-05-18,23.66,1.55%,1.38,6.54
