代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
603115,海星股份,2026-05-27,113.08,10.0%,1.05,5.41
000716,黑芝麻,2026-05-27,5.85,4.65%,1.04,9.85
002606,大连电瓷,2026-05-27,16.8,3.58%,1.15,13.43
600367,红星发展,2026-05-27,30.2,1.41%,1.59,23.92
