代码,名称,今日涨幅
002652,扬子新材,10.14
002870,香山股份,10.01
600793,宜宾纸业,10.01
603119,浙江荣泰,10.0
000777,中核科技,9.99
002176,江特电机,9.97
000036,华联控股,9.96
600370,三房巷,9.95
002640,跨境通,9.93
603399,永杉锂业,7.43
002626,金达威,5.98
603013,亚普股份,5.94
002050,三花智控,5.5
603895,天永智能,5.21
002987,京北方,4.7
603270,金帝股份,4.6
603380,易德龙,4.42
605488,福莱新材,4.37
603662,柯力传感,4.12
600516,方大炭素,4.01
002052,同洲电子,3.97
002245,蔚蓝锂芯,3.88
603108,润达医疗,3.79
600153,建发股份,3.42
603919,金徽酒,3.08
600433,冠豪高新,3.07
000997,新 大 陆,3.07
601595,上海电影,3.03
002091,江苏国泰,2.93
001373,翔腾新材,2.91
603004,鼎龙科技,2.76
600318,新力金融,2.64
600195,中牧股份,2.16
600398,海澜之家,1.95
001238,浙江正特,1.76
600567,山鹰国际,1.72
000768,中航西飞,1.69
000877,天山股份,1.65
600155,华创云信,1.48
000550,江铃汽车,1.15
002521,齐峰新材,1.05
000521,长虹美菱,0.45
