代码,名称,今日涨幅
002777,久远银海,10.02
600513,联环药业,10.01
605177,东亚药业,8.15
603887,城地香江,7.72
603189,网达软件,7.38
002862,实丰文化,6.06
002052,同洲电子,5.53
601858,中国科传,5.23
601811,新华文轩,4.86
605162,新中港,4.85
600588,用友网络,4.67
600621,华鑫股份,4.62
601968,宝钢包装,3.96
603990,麦迪科技,3.77
600571,信雅达,3.75
600037,歌华有线,3.67
600830,香溢融通,3.67
000541,佛山照明,3.44
000531,穗恒运Ａ,3.31
600050,中国联通,3.24
603181,皇马科技,3.24
002701,奥瑞金,3.07
000554,泰山石油,3.03
002467,二六三,2.91
000875,吉电股份,2.83
001286,陕西能源,2.82
002580,圣阳股份,2.8
603112,华翔股份,2.73
002221,东华能源,2.59
600992,贵绳股份,2.49
601949,中国出版,2.43
002730,电光科技,2.09
002911,佛燃能源,1.3
601952,苏垦农发,1.2
