代码,名称,今日涨幅
603608,天创时尚,10.04
603618,杭电股份,10.03
001208,华菱线缆,10.02
600345,长江通信,10.02
002935,天奥电子,10.01
600391,航发科技,10.0
001212,中旗新材,10.0
603163,圣晖集成,10.0
600814,杭州解百,10.0
002412,汉森制药,10.0
001400,江顺科技,10.0
000777,中核科技,9.99
002772,众兴菌业,9.99
603616,韩建河山,9.95
603958,哈森股份,8.67
603992,松霖科技,8.28
002947,恒铭达,8.27
002342,巨力索具,7.94
002536,飞龙股份,7.84
603806,福斯特,6.95
002163,海南发展,6.87
600331,宏达股份,6.86
600893,航发动力,6.46
601126,四方股份,6.34
002126,银轮股份,6.27
002626,金达威,5.98
600236,桂冠电力,5.9
001226,拓山重工,5.9
002441,众业达,5.79
002420,毅昌科技,5.64
002050,三花智控,5.5
603103,横店影视,5.5
605599,菜百股份,5.25
600481,双良节能,5.1
002299,圣农发展,4.82
002623,亚玛顿,4.8
002987,京北方,4.7
603358,华达科技,4.68
002472,双环传动,4.57
003033,征和工业,4.56
002800,天顺股份,4.44
603380,易德龙,4.42
000533,顺钠股份,4.36
000700,模塑科技,4.34
600113,浙江东日,4.34
600761,安徽合力,4.3
603127,昭衍新药,4.24
600216,浙江医药,4.21
603016,新宏泰,4.06
002739,万达电影,4.06
603135,中重科技,4.05
603033,三维股份,4.03
605377,华旺科技,3.96
002703,浙江世宝,3.92
001379,腾达科技,3.91
000738,航发控制,3.86
002134,天津普林,3.84
603685,晨丰科技,3.84
601689,拓普集团,3.83
603822,嘉澳环保,3.66
002810,山东赫达,3.59
600343,航天动力,3.52
002985,北摩高科,3.52
003003,天元股份,3.44
002430,杭氧股份,3.41
003021,兆威机电,3.18
600185,珠免集团,3.15
600053,九鼎投资,3.09
000997,新 大 陆,3.07
603968,醋化股份,3.03
603725,天安新材,3.01
002801,微光股份,2.83
002969,嘉美包装,2.77
601601,中国太保,2.75
603124,江南新材,2.75
600378,昊华科技,2.75
600426,华鲁恒升,2.7
000547,航天发展,2.69
002887,绿茵生态,2.65
002151,北斗星通,2.65
600862,中航高科,2.62
603324,盛剑科技,2.6
002318,久立特材,2.59
601318,中国平安,2.56
002104,恒宝股份,2.55
002457,青龙管业,2.55
605319,无锡振华,2.53
001268,联合精密,2.45
601138,工业富联,2.43
002965,祥鑫科技,2.43
603060,国检集团,2.37
603379,三美股份,2.37
000534,万泽股份,2.33
002937,兴瑞科技,2.32
600990,四创电子,2.26
605180,华生科技,2.25
603211,晋拓股份,2.22
605500,森林包装,2.2
600160,巨化股份,2.19
000586,汇源通信,2.17
002384,东山精密,2.12
002788,鹭燕医药,2.09
605020,永和股份,2.06
002957,科瑞技术,2.03
600875,东方电气,2.03
600346,恒力石化,1.97
002266,浙富控股,1.92
002865,钧达股份,1.78
603203,快克智能,1.77
000768,中航西飞,1.69
603190,亚通精工,1.65
002955,鸿合科技,1.65
600570,恒生电子,1.62
002049,紫光国微,1.6
600983,惠而浦,1.55
600992,贵绳股份,1.52
601208,东材科技,1.48
002034,旺能环境,1.46
601628,中国人寿,1.43
001322,箭牌家居,1.39
603062,麦加芯彩,1.31
002886,沃特股份,1.29
002014,永新股份,1.28
002763,汇洁股份,1.22
600482,中国动力,1.21
001207,联科科技,1.21
002927,泰永长征,1.19
600206,有研新材,1.17
600369,西南证券,1.11
002597,金禾实业,1.09
002657,中科金财,1.09
603409,汇通控股,1.08
000887,中鼎股份,1.01
002690,美亚光电,1.0
000070,特发信息,0.99
605090,九丰能源,0.92
603678,火炬电子,0.86
600188,兖矿能源,0.84
002458,益生股份,0.83
600105,永鼎股份,0.81
600030,中信证券,0.77
605122,四方新材,0.72
002380,科远智慧,0.7
603336,宏辉果蔬,0.62
603323,苏农银行,0.59
603519,立霸股份,0.59
002327,富安娜,0.57
002972,科安达,0.56
002008,大族激光,0.48
002566,益盛药业,0.48
603256,宏和科技,0.45
000779,甘咨询,0.34
600173,卧龙新能,0.34
605118,力鼎光电,0.27
601991,大唐发电,0.27
003816,中国广核,0.26
603005,晶方科技,0.25
000966,长源电力,0.23
601375,中原证券,0.23
600841,动力新科,0.21
603267,鸿远电子,0.19
601231,环旭电子,0.16
603043,广州酒家,0.11
002286,保龄宝,0.09
000733,振华科技,0.04
600388,龙净环保,0.0
002978,安宁股份,-0.03
603273,天元智能,-0.05
002796,世嘉科技,-0.11
002404,嘉欣丝绸,-0.13
603385,惠达卫浴,-0.14
600738,丽尚国潮,-0.18
