代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
600769,祥龙电业,2026-06-22,21.08,10.02%,1.9,12.33
000048,京基智农,2026-06-22,20.75,10.02%,1.18,8.83
000811,冰轮环境,2026-06-22,44.19,10.01%,1.97,7.4
600869,远东股份,2026-06-22,36.15,10.01%,1.01,6.36
603989,艾华集团,2026-06-22,45.65,10.0%,1.71,8.23
600703,三安光电,2026-06-22,19.29,9.98%,1.03,7.47
600226,亨通股份,2026-06-22,10.58,8.4%,1.4,14.67
600906,财达证券,2026-06-22,7.86,8.12%,1.29,10.94
002051,中工国际,2026-06-22,13.23,8.0%,1.04,9.78
002491,通鼎互联,2026-06-22,34.0,7.66%,1.46,23.73
002515,金字火腿,2026-06-22,10.22,6.13%,1.0,12.86
002174,游族网络,2026-06-22,12.33,6.11%,1.26,6.3
002579,中京电子,2026-06-22,21.14,4.04%,1.76,38.37
002203,海亮股份,2026-06-22,26.3,3.06%,1.13,6.18
002782,可立克,2026-06-22,25.03,2.71%,1.46,6.72
603616,韩建河山,2026-06-22,6.58,1.86%,1.2,17.33
