代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
603045,福达合金,2026-06-16,88.17,10.01%,1.21,12.36
002806,华锋股份,2026-06-16,20.7,9.99%,1.57,27.22
002824,和胜股份,2026-06-16,34.91,9.99%,1.09,12.65
002051,中工国际,2026-06-16,12.77,9.9%,1.37,10.75
003036,泰坦股份,2026-06-16,98.21,8.66%,1.17,6.41
000636,风华高科,2026-06-16,70.61,8.58%,1.0,15.52
000510,新金路,2026-06-16,22.95,7.7%,2.13,20.31
600237,铜峰电子,2026-06-16,11.42,6.93%,1.33,16.35
002174,游族网络,2026-06-16,11.82,6.58%,1.66,8.2
000037,深南电A,2026-06-16,11.69,3.36%,1.14,14.93
600198,大唐电信,2026-06-16,9.63,2.77%,1.03,5.94
002815,崇达技术,2026-06-16,19.35,2.54%,1.47,18.47
000700,模塑科技,2026-06-16,16.11,1.7%,1.45,11.34
