代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
605136,丽人丽妆,筑底/平量,连跌0天首红,10.52,0.64,26.8,10.5%,-0.4%
603633,徕木股份,筑底/平量,连跌0天首红,8.57,0.66,28.2,13.3%,-0.7%
000036,华联控股,筑底/平量,连跌0天首红,5.16,0.71,23.8,13.6%,-1.2%
000796,凯撒旅业,筑底/平量,连跌0天首红,5.41,0.73,24.7,19.5%,-1.3%
002752,昇兴股份,筑底/平量,连跌0天首红,6.33,0.74,24.7,10.4%,-0.9%
000566,海南海药,筑底/平量,连跌0天首红,5.74,0.76,27.0,20.9%,-0.5%
603536,惠发食品,筑底/平量,连跌0天首红,10.21,0.79,27.5,12.4%,-1.3%
603359,东珠生态,筑底/平量,连跌0天首红,6.69,0.82,27.5,16.2%,-1.9%
000955,欣龙控股,筑底/平量,连跌0天首红,5.42,0.84,22.2,10.6%,-1.8%
002373,千方科技,筑底/平量,连跌0天首红,10.72,0.84,20.6,10.5%,-0.4%
002765,蓝黛科技,筑底/放量,连跌0天首红,10.99,0.84,20.9,10.3%,-0.5%
002038,双鹭药业,筑底/平量,连跌0天首红,6.2,0.85,29.7,17.4%,-1.0%
000572,海马汽车,筑底/平量,连跌0天首红,6.43,0.87,23.9,20.2%,-1.7%
003016,欣贺股份,筑底/平量,连跌0天首红,8.41,0.88,23.8,12.6%,-1.3%
600996,贵广网络,筑底/平量,连跌0天首红,8.13,0.9,28.6,19.3%,0.0%
603567,珍宝岛,筑底/平量,连跌0天首红,7.66,0.98,26.9,17.0%,-0.1%
603528,多伦科技,筑底/放量,连跌0天首红,8.91,0.99,20.5,12.5%,-0.4%
603815,交建股份,筑底/平量,连跌0天首红,6.66,1.03,25.3,17.5%,-1.5%
