代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
605555,德昌股份,筑底/平量,连跌0天首红,16.29,0.41,14.6,11.4%,1.1%
600376,首开股份,筑底/平量,连跌0天首红,5.13,0.46,20.0,11.1%,0.8%
603697,有友食品,筑底/平量,连跌0天首红,11.38,0.54,12.4,11.7%,1.2%
603528,多伦科技,筑底/平量,连跌0天首红,8.95,0.55,21.0,12.1%,0.7%
000036,华联控股,筑底/平量,连跌0天首红,5.22,0.59,14.9,12.2%,1.2%
002373,千方科技,筑底/平量,连跌0天首红,10.76,0.6,23.6,10.2%,0.8%
601566,九牧王,筑底/平量,连跌0天首红,11.15,0.61,27.3,17.6%,1.5%
603101,汇嘉时代,筑底/平量,连跌0天首红,8.81,0.61,24.2,11.9%,1.3%
002029,七 匹 狼,筑底/平量,连跌0天首红,10.67,0.62,27.5,10.3%,0.4%
600859,王府井,筑底/平量,连跌0天首红,13.28,0.64,25.2,11.5%,1.2%
603758,秦安股份,筑底/平量,连跌0天首红,14.01,0.74,14.9,18.0%,0.9%
