代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
600463,空港股份,筑底/平量,连跌0天首红,9.93,0.63,29.0,13.0%,0.7%
002037,保利联合,筑底/平量,连跌0天首红,8.02,0.69,29.7,15.4%,1.4%
600595,中孚实业,筑底/平量,连跌0天首红,7.1,0.73,16.4,21.1%,0.1%
002846,英联股份,筑底/平量,连跌0天首红,13.93,0.73,25.4,14.5%,1.0%
002097,山河智能,筑底/平量,连跌0天首红,9.95,0.74,28.1,17.3%,1.1%
600416,湘电股份,筑底/平量,连跌0天首红,12.83,0.75,30.0,15.2%,1.3%
002584,西陇科学,筑底/平量,连跌0天首红,7.81,0.75,27.3,14.8%,1.4%
000716,黑芝麻,筑底/平量,连跌0天首红,5.27,0.75,27.2,15.6%,0.8%
601608,中信重工,筑底/平量,连跌0天首红,6.18,0.77,28.6,15.4%,0.6%
600828,茂业商业,筑底/平量,连跌0天首红,5.61,0.83,28.6,14.2%,1.3%
002249,大洋电机,筑底/平量,连跌0天首红,9.34,0.84,24.0,13.1%,0.4%
000678,襄阳轴承,筑底/平量,连跌0天首红,11.73,0.89,29.0,17.8%,0.6%
002765,蓝黛科技,筑底/平量,连跌0天首红,10.16,0.91,28.1,16.9%,1.4%
600338,西藏珠峰,筑底/平量,连跌0天首红,15.81,0.96,29.7,11.3%,1.0%
000060,中金岭南,筑底/平量,连跌0天首红,6.13,1.04,27.3,11.8%,0.8%
