代码,名称,状态,距离13日线%,收盘价
000409,云鼎科技,回踩13日线买点确认,0.9,11.85
603017,中衡设计,回踩13日线买点确认,0.22,12.12
000890,法尔胜,回踩13日线买点确认,0.36,5.36
603602,纵横通信,回踩13日线买点确认,1.35,15.66
002207,准油股份,回踩13日线买点确认,1.12,8.37
600152,维科技术,回踩13日线买点确认,0.25,7.67
000892,欢瑞世纪,回踩13日线买点确认,0.41,7.9
002659,凯文教育,回踩13日线买点确认,1.1,6.41
