代码,名称,今日涨幅
603601,再升科技,10.02
603311,金海高科,10.0
600903,贵州燃气,9.99
600578,京能电力,9.99
003018,金富科技,9.99
603316,诚邦股份,9.99
603779,威龙股份,9.98
600909,华安证券,9.98
002354,天娱数科,9.94
000636,风华高科,9.0
002348,高乐股份,7.94
002245,蔚蓝锂芯,7.8
601728,中国电信,7.74
600641,万业企业,7.48
600133,东湖高新,7.24
601330,绿色动力,6.95
603078,江化微,6.78
603505,金石资源,6.38
603618,杭电股份,6.04
603125,常青科技,5.88
603616,韩建河山,5.85
002457,青龙管业,5.7
603439,贵州三力,5.67
002786,银宝山新,5.59
600050,中国联通,5.58
603903,中持股份,5.58
002611,东方精工,5.38
002196,方正电机,5.21
002443,金洲管道,4.62
002883,中设股份,4.54
002068,黑猫股份,4.02
002608,江苏国信,3.94
000559,万向钱潮,3.89
000404,长虹华意,3.87
600367,红星发展,3.77
002254,泰和新材,3.46
002298,中电鑫龙,3.44
001330,博纳影业,3.39
000863,三湘印象,3.38
600189,泉阳泉,3.33
603697,有友食品,3.0
600156,华升股份,2.98
002856,美芝股份,2.95
002185,华天科技,2.73
000543,皖能电力,2.49
600999,招商证券,2.47
600483,福能股份,2.36
000551,创元科技,2.28
605500,森林包装,2.12
600215,派斯林,2.03
603172,万丰股份,1.74
003025,思进智能,1.72
600333,长春燃气,1.69
603093,南华期货,1.55
002963,豪尔赛,1.49
603305,旭升集团,1.39
600023,浙能电力,1.32
000159,国际实业,1.3
002527,新时达,1.24
000411,英特集团,1.1
000700,模塑科技,1.01
002184,海得控制,0.82
002600,领益智造,0.77
603677,奇精机械,0.76
603278,大业股份,0.65
002249,大洋电机,0.61
601566,九牧王,0.53
605018,长华集团,0.45
002871,伟隆股份,0.24
002347,泰尔股份,-0.47
002403,爱仕达,-0.51
603015,弘讯科技,-0.55
002011,盾安环境,-0.7
002643,万润股份,-0.77
603809,豪能股份,-0.78
601177,杭齿前进,-0.82
002406,远东传动,-0.95
002164,宁波东力,-0.98
603928,兴业股份,-1.54
002174,游族网络,-1.67
603310,巍华新材,-1.98
603386,骏亚科技,-2.3
002617,露笑科技,-2.56
002031,巨轮智能,-2.62
002809,红墙股份,-2.89
603390,通达电气,-2.97
603598,引力传媒,-4.07
600081,东风科技,-4.17
603520,司太立,-4.5
603333,尚纬股份,-4.87
603272,联翔股份,-5.01
