代码,名称,今日涨幅
002652,扬子新材,10.14
600971,恒源煤电,10.08
002355,兴民智通,10.03
002928,华夏航空,10.02
002300,太阳电缆,10.01
600793,宜宾纸业,10.01
002870,香山股份,10.01
603826,坤彩科技,10.01
603119,浙江荣泰,10.0
600546,山煤国际,9.99
000777,中核科技,9.99
600370,三房巷,9.95
002640,跨境通,9.93
601918,新集能源,7.45
603922,金鸿顺,7.43
601666,平煤股份,7.32
601111,中国国航,7.0
600123,兰花科创,6.83
600463,空港股份,6.73
002626,金达威,5.98
603013,亚普股份,5.94
000937,冀中能源,5.78
600185,珠免集团,5.51
002050,三花智控,5.5
603895,天永智能,5.21
002987,京北方,4.7
603270,金帝股份,4.6
600933,爱柯迪,4.48
000525,红太阳,4.43
603380,易德龙,4.42
605488,福莱新材,4.37
600523,贵航股份,4.19
000537,中绿电,4.19
603662,柯力传感,4.12
601966,玲珑轮胎,4.07
603628,清源股份,3.96
002875,安奈儿,3.72
003036,泰坦股份,3.35
002580,圣阳股份,3.23
603919,金徽酒,3.08
600433,冠豪高新,3.07
000997,新 大 陆,3.07
601595,上海电影,3.03
001373,翔腾新材,2.91
603004,鼎龙科技,2.76
000800,一汽解放,2.5
603269,海鸥股份,2.34
001238,浙江正特,1.76
600567,山鹰国际,1.72
000768,中航西飞,1.69
