代码,名称,今日涨幅
002177,御银股份,10.04
603626,科森科技,10.03
002383,合众思壮,10.03
002969,嘉美包装,10.03
000703,恒逸石化,10.02
600682,南京新百,10.02
603458,勘设股份,10.01
605069,正和生态,10.0
002342,巨力索具,10.0
603608,天创时尚,9.99
002196,方正电机,9.98
000700,模塑科技,9.98
002347,泰尔股份,9.97
605167,利柏特,8.01
603225,新凤鸣,7.86
002493,荣盛石化,7.06
002201,九鼎新材,6.51
600877,电科芯片,6.13
000039,中集集团,6.13
600236,桂冠电力,6.01
000048,京基智农,5.9
002203,海亮股份,5.41
600230,沧州大化,5.32
600143,金发科技,5.1
603085,天成自控,5.09
600728,佳都科技,5.0
002532,天山铝业,4.99
603095,越剑智能,4.78
601600,中国铝业,4.72
600295,鄂尔多斯,4.69
002293,罗莱生活,4.62
002152,广电运通,4.46
002169,智光电气,4.44
601233,桐昆股份,4.07
600765,中航重机,4.01
002571,德力股份,3.96
002434,万里扬,3.93
000592,平潭发展,3.7
002674,兴业科技,3.68
002367,康力电梯,3.63
000061,农 产 品,3.63
603926,铁流股份,3.6
000680,山推股份,3.47
000301,东方盛虹,3.46
600810,神马股份,3.31
002278,神开股份,3.3
002626,金达威,3.25
603809,豪能股份,3.24
600176,中国巨石,3.17
603025,大豪科技,3.01
002334,英威腾,2.7
000612,焦作万方,2.69
000683,博源化工,2.59
603158,腾龙股份,2.56
600989,宝丰能源,2.47
002340,格林美,2.38
002648,卫星化学,2.26
002296,辉煌科技,2.19
603123,翠微股份,2.18
601677,明泰铝业,2.13
603178,圣龙股份,2.03
000936,华西股份,1.9
000510,新金路,1.82
600000,浦发银行,1.81
002416,爱施德,1.8
000863,三湘印象,1.8
002446,盛路通信,1.77
002272,川润股份,1.51
002522,浙江众成,1.44
600135,乐凯胶片,1.41
002708,光洋股份,1.36
002588,史丹利,1.23
603081,大丰实业,1.22
603915,国茂股份,1.2
600817,宇通重工,1.15
000561,烽火电子,1.15
002171,楚江新材,1.13
601156,东航物流,1.11
600331,宏达股份,1.11
600284,浦东建设,1.06
600416,湘电股份,1.03
603028,赛福天,0.91
000550,江铃汽车,0.9
002117,东港股份,0.85
002250,联化科技,0.76
600641,万业企业,0.75
002299,圣农发展,0.73
000878,云南铜业,0.73
600598,北大荒,0.6
601108,财通证券,0.57
600879,航天电子,0.52
600528,中铁工业,0.49
600481,双良节能,0.47
601229,上海银行,0.39
002556,辉隆股份,0.33
600435,北方导航,0.33
603169,兰石重装,0.28
002530,金财互联,0.19
600671,天目药业,0.17
603700,宁水集团,0.15
000978,桂林旅游,0.14
002180,纳思达,0.05
000967,盈峰环境,0.0
600372,中航机载,-0.23
000758,中色股份,-0.61
600889,南京化纤,-0.73
001236,弘业期货,-0.74
002094,青岛金王,-0.82
002254,泰和新材,-1.17
603949,雪龙集团,-1.22
600973,宝胜股份,-1.44
002465,海格通信,-1.5
603333,尚纬股份,-1.78
603577,汇金通,-1.86
600955,维远股份,-2.02
600178,东安动力,-2.43
600531,豫光金铅,-2.53
603778,国晟科技,-2.74
000987,越秀资本,-3.33
000973,佛塑科技,-3.34
603936,博敏电子,-3.94
002716,湖南白银,-3.98
001217,华尔泰,-5.62
603876,鼎胜新材,-5.65
601700,风范股份,-6.66
600736,苏州高新,-7.15
002361,神剑股份,-10.01
