代码,名称,今日涨幅
002208,合肥城建,10.04
600841,动力新科,10.03
002953,日丰股份,10.03
002119,康强电子,10.02
601133,柏诚股份,10.02
603078,江化微,10.02
603038,华立股份,10.01
603056,德邦股份,10.01
603058,永吉股份,10.0
600785,新华百货,9.99
603638,艾迪精密,9.98
002339,积成电子,9.98
002331,皖通科技,9.98
600198,大唐电信,9.97
600623,华谊集团,9.28
600667,太极实业,8.14
600744,华银电力,7.98
603135,中重科技,7.95
601669,中国电建,7.84
603272,联翔股份,7.77
002414,高德红外,7.67
000510,新金路,7.27
000559,万向钱潮,7.06
002923,润都股份,6.98
603861,白云电器,6.96
603037,凯众股份,6.86
000636,风华高科,6.8
600257,大湖股份,6.6
002185,华天科技,6.54
600348,华阳股份,6.49
002357,富临运业,6.35
002452,长高电新,6.15
603012,创力集团,6.02
002716,湖南白银,5.79
601700,风范股份,5.52
002546,新联电子,5.49
000551,创元科技,5.48
603115,海星股份,5.4
603089,正裕工业,5.4
603730,岱美股份,5.32
002836,新宏泽,5.31
603006,联明股份,5.23
603166,福达股份,5.13
002077,大港股份,5.11
002617,露笑科技,5.1
002845,同兴达,5.04
002510,天汽模,5.02
002560,通达股份,4.95
603759,海天股份,4.93
603938,三孚股份,4.9
603901,永创智能,4.78
002131,利欧股份,4.73
605183,确成股份,4.71
002121,科陆电子,4.55
003039,顺控发展,4.31
600312,平高电气,4.13
600671,天目药业,4.07
002643,万润股份,3.95
002692,远程股份,3.94
600333,长春燃气,3.9
002654,万润科技,3.82
002658,雪迪龙,3.72
603070,万控智造,3.69
002606,大连电瓷,3.68
000338,潍柴动力,3.66
002276,万马股份,3.64
603291,联合水务,3.64
600201,生物股份,3.53
002949,华阳国际,3.44
603238,诺邦股份,3.17
600517,国网英大,3.13
002533,金杯电工,3.12
600768,宁波富邦,3.09
000682,东方电子,3.05
002026,山东威达,3.01
002811,郑中设计,2.97
600302,标准股份,2.89
002144,宏达高科,2.89
600550,保变电气,2.89
002015,协鑫能科,2.75
002636,金安国纪,2.66
603618,杭电股份,2.65
002627,三峡旅游,2.64
603212,赛伍技术,2.63
600131,国网信通,2.59
002559,亚威股份,2.48
600176,中国巨石,2.45
002079,苏州固锝,2.4
603798,康普顿,2.38
002180,纳思达,2.33
002782,可立克,2.27
002350,北京科锐,2.24
600644,乐山电力,2.19
600676,交运股份,2.16
603577,汇金通,2.14
600106,重庆路桥,2.14
002823,凯中精密,2.11
600133,东湖高新,2.03
002441,众业达,1.99
002576,通达动力,1.98
002917,金奥博,1.96
603949,雪龙集团,1.95
603989,艾华集团,1.86
003038,鑫铂股份,1.86
000421,南京公用,1.85
002671,龙泉股份,1.82
000920,沃顿科技,1.81
600505,西昌电力,1.8
600995,南网储能,1.77
603172,万丰股份,1.75
600538,国发股份,1.74
002800,天顺股份,1.62
600817,宇通重工,1.57
002340,格林美,1.57
600101,明星电力,1.52
003025,思进智能,1.42
605166,聚合顺,1.41
000151,中成股份,1.38
000066,中国长城,1.35
603233,大参林,1.33
603289,泰瑞机器,1.32
002927,泰永长征,1.31
600526,菲达环保,1.3
600724,宁波富达,1.29
603111,康尼机电,1.28
001289,龙源电力,1.28
000779,甘咨询,1.27
601222,林洋能源,1.21
001239,永达股份,1.2
000856,冀东装备,1.16
002587,奥拓电子,1.16
600168,武汉控股,1.16
003015,日久光电,1.12
600379,宝光股份,1.12
600615,鑫源智造,0.99
603788,宁波高发,0.96
603050,科林电气,0.86
002842,翔鹭钨业,0.84
603993,洛阳钼业,0.83
000722,湖南发展,0.82
002758,浙农股份,0.78
000027,深圳能源,0.57
600780,通宝能源,0.51
002893,京能热力,0.51
600219,南山铝业,0.51
002053,云南能投,0.5
600641,万业企业,0.47
002237,恒邦股份,0.47
002322,理工能科,0.38
600268,国电南自,0.33
002454,松芝股份,0.33
600116,三峡水利,0.3
605066,天正电气,0.12
000037,深南电A,0.11
601958,金钼股份,0.05
000576,甘化科工,0.0
603132,金徽股份,-0.06
002478,常宝股份,-0.11
600499,科达制造,-0.14
000630,铜陵有色,-0.16
000862,银星能源,-0.16
000737,北方铜业,-0.25
000899,赣能股份,-0.38
603161,科华控股,-0.39
002545,东方铁塔,-0.52
000758,中色股份,-0.56
605599,菜百股份,-0.56
600497,驰宏锌锗,-0.66
603318,水发燃气,-0.7
603320,迪贝电气,-0.86
000878,云南铜业,-0.92
600989,宝丰能源,-1.0
000610,西安旅游,-1.2
000600,建投能源,-1.23
000060,中金岭南,-1.31
603002,宏昌电子,-1.34
002846,英联股份,-1.39
603191,望变电气,-1.61
600847,万里股份,-1.83
600796,钱江生化,-1.86
600251,冠农股份,-2.28
002879,长缆科技,-2.78
601179,中国西电,-2.83
600961,株冶集团,-3.13
600237,铜峰电子,-3.24
002787,华源控股,-3.93
002114,罗平锌电,-4.14
002153,石基信息,-4.4
002112,三变科技,-5.58
002427,尤夫股份,-5.73
002707,众信旅游,-8.47
600662,外服控股,-10.03
