代码,名称,今日涨幅
002418,康盛股份,10.06
002824,和胜股份,10.01
001299,美能能源,9.98
603777,来伊份,9.98
000967,盈峰环境,7.79
002083,孚日股份,6.83
600499,科达制造,6.81
002066,瑞泰科技,6.52
600232,金鹰股份,5.53
605222,起帆电缆,5.34
002283,天润工业,5.17
605189,富春染织,4.93
600176,中国巨石,4.25
603429,集友股份,4.05
000338,潍柴动力,3.93
603227,雪峰科技,3.35
600080,金花股份,3.23
002454,松芝股份,2.52
002245,蔚蓝锂芯,2.41
002795,永和智控,2.14
603876,鼎胜新材,2.11
605366,宏柏新材,1.91
603958,哈森股份,1.8
002250,联化科技,1.79
601002,晋亿实业,1.71
002582,好想你,1.65
603311,金海高科,1.32
600338,西藏珠峰,1.25
002729,好利科技,0.98
601133,柏诚股份,0.89
603886,元祖股份,0.84
002345,潮宏基,0.75
603458,勘设股份,0.73
603637,镇海股份,0.7
001338,永顺泰,0.66
600897,厦门空港,0.61
603399,永杉锂业,0.51
002361,神剑股份,0.49
603990,麦迪科技,0.33
000810,创维数字,0.17
002624,完美世界,-0.05
600901,江苏金租,-0.15
002342,巨力索具,-0.58
603890,春秋电子,-0.89
605056,咸亨国际,-1.23
002107,沃华医药,-1.57
605208,永茂泰,-1.81
002181,粤 传 媒,-2.18
600110,诺德股份,-2.76
000155,川能动力,-3.32
002636,金安国纪,-3.39
603808,歌力思,-5.28
000070,特发信息,-5.36
002491,通鼎互联,-9.6
000586,汇源通信,-9.99
