代码,名称,日期,收盘价,涨跌幅,换手率
002196,方正电机,2026-01-21,18.68,10.01,15.76
601965,中国汽研,2026-01-23,20.24,4.6,2.8
002131,利欧股份,2026-01-22,8.42,-10.04,0.59
000987,越秀资本,2026-01-23,11.13,2.49,4.31
601615,明阳智能,2026-01-23,21.65,10.01,0.75
600189,泉阳泉,2026-01-23,8.37,2.45,5.87
603861,白云电器,2026-01-21,15.22,-1.17,4.18
002591,恒大高新,2026-01-21,7.54,0.4,17.44
002119,康强电子,2026-01-23,23.4,-0.43,21.55
600268,国电南自,2026-01-23,13.95,1.75,7.85
000045,深纺织Ａ,2026-01-23,13.5,1.66,5.56
603058,永吉股份,2026-01-23,11.75,2.44,6.05
002637,赞宇科技,2026-01-23,12.48,-2.8,6.19
002358,森源电气,2026-01-23,7.47,3.03,21.06
601133,柏诚股份,2026-01-23,18.61,4.37,20.53
600841,动力新科,2026-01-23,8.06,4.68,7.38
603038,华立股份,2026-01-23,17.87,0.85,2.91
000066,中国长城,2026-01-23,18.29,-6.21,15.46
003039,顺控发展,2026-01-23,17.69,-1.89,2.69
601163,三角轮胎,2026-01-23,15.43,-0.9,1.99
002606,大连电瓷,2026-01-23,10.92,0.74,11.14
002707,众信旅游,2026-01-22,8.21,0.74,5.87
688277,天智航,2026-01-21,23.88,12.38,8.26
002112,三变科技,2026-01-23,23.96,10.01,26.62
600312,平高电气,2026-01-23,22.35,0.4,4.14
603638,艾迪精密,2026-01-22,22.12,-1.6,1.67
601117,中国化学,2026-01-23,8.93,-0.22,4.36
603313,梦百合,2026-01-23,10.25,-3.03,4.27
688334,西高院,2026-01-23,25.13,1.0,7.11
600550,保变电气,2026-01-23,15.13,2.3,10.51
000803,山高环能,2026-01-23,9.85,1.34,6.54
601700,风范股份,2026-01-23,6.81,1.19,8.93
600234,科新发展,2026-01-23,13.56,3.83,3.62
001376,百通能源,2026-01-23,21.22,-1.39,11.12
605167,利柏特,2026-01-21,18.0,-2.44,2.36
603115,海星股份,2026-01-23,24.3,-1.46,4.68
002339,积成电子,2026-01-23,11.48,9.96,13.2
002153,石基信息,2026-01-22,13.66,-1.87,3.92
002953,日丰股份,2026-01-23,13.21,0.92,8.57
603056,德邦股份,2026-01-20,18.85,-0.05,6.96
002187,广百股份,2026-01-23,8.66,0.23,6.1
002077,大港股份,2026-01-23,18.84,2.22,16.12
605299,舒华体育,2026-01-23,12.85,-1.38,6.59
000417,合百集团,2026-01-23,8.61,-0.23,6.1
688179,阿拉丁,2026-01-23,16.8,1.82,5.29
688488,艾迪药业,2026-01-21,21.0,-2.33,1.92
688352,颀中科技,2026-01-23,15.38,-0.52,8.55
600539,狮头股份,2026-01-23,11.41,1.6,4.92
600610,中毅达,2026-01-23,11.72,-3.14,11.59
002319,乐通股份,2026-01-23,13.46,0.67,4.39
002879,长缆科技,2026-01-21,21.79,-0.5,12.92
600955,维远股份,2026-01-23,20.4,2.0,3.53
603000,人民网,2026-01-22,24.5,0.12,7.91
603320,迪贝电气,2026-01-23,23.03,1.32,3.78
688403,汇成股份,2026-01-23,21.74,1.92,5.54
601212,白银有色,2026-01-23,10.37,9.97,4.1
605222,起帆电缆,2026-01-21,20.88,-2.06,2.83
001278,一彬科技,2026-01-23,21.45,1.18,10.05
600785,新华百货,2026-01-23,22.96,3.89,13.97
605366,宏柏新材,2026-01-23,7.0,1.01,3.67
601968,宝钢包装,2026-01-23,6.06,0.83,1.94
002584,西陇科学,2026-01-23,9.88,0.41,11.28
002799,环球印务,2026-01-23,9.45,0.75,5.89
002331,皖通科技,2026-01-23,10.01,1.11,5.38
688586,江航装备,2026-01-23,15.67,-0.06,3.8
