代码,名称,日期,收盘价,涨跌幅,换手率
002196,方正电机,2026-01-21,18.68,10.01,15.76
603739,蔚蓝生物,2026-01-19,15.59,-0.13,3.48
603938,三孚股份,2026-01-19,26.26,-2.7,8.12
600651,飞乐音响,2026-01-19,8.42,-3.44,2.5
002400,省广集团,2026-01-19,10.6,-7.99,23.94
000409,云鼎科技,2026-01-19,11.85,1.89,6.11
603138,海量数据,2026-01-19,16.33,-1.15,4.65
601858,中国科传,2026-01-19,20.69,-3.95,2.3
002858,力盛体育,2026-01-19,16.63,1.22,5.1
601615,明阳智能,2026-01-12,19.68,10.01,4.97
603282,亚光股份,2026-01-19,21.46,0.19,4.89
002181,粤 传 媒,2026-01-19,10.17,-4.15,6.72
002429,兆驰股份,2026-01-19,9.4,2.29,4.13
688085,三友医疗,2026-01-19,20.07,-1.57,2.1
603017,中衡设计,2026-01-19,12.12,0.75,4.03
603861,白云电器,2026-01-21,15.22,-1.17,4.18
002591,恒大高新,2026-01-21,7.54,0.4,17.44
002171,楚江新材,2026-01-19,14.61,1.32,6.49
000890,法尔胜,2026-01-19,5.36,2.1,5.43
600694,大商股份,2026-01-19,19.39,2.65,2.65
002044,美年健康,2026-01-19,7.21,-5.87,13.69
600589,大位科技,2026-01-19,9.57,-0.52,15.54
600828,茂业商业,2026-01-19,6.92,-1.42,3.06
002427,尤夫股份,2026-01-19,7.62,5.25,6.27
688590,新致软件,2026-01-19,21.51,-3.63,5.19
002358,森源电气,2026-01-19,7.1,10.08,1.72
688387,信科移动,2026-01-19,19.09,-3.63,7.77
002115,三维通信,2026-01-19,15.83,-10.01,1.84
002066,瑞泰科技,2026-01-19,20.12,2.5,1.81
000066,中国长城,2026-01-19,16.23,-2.05,3.43
603703,盛洋科技,2026-01-19,16.57,3.37,11.09
002707,众信旅游,2026-01-19,8.38,0.72,14.12
603602,纵横通信,2026-01-19,15.66,-0.82,5.43
688277,天智航,2026-01-21,23.88,12.38,8.26
603682,锦和商管,2026-01-19,7.05,-0.42,4.25
601949,中国出版,2026-01-19,7.23,-3.34,1.43
600879,航天电子,2026-01-19,26.53,3.39,12.67
000803,山高环能,2026-01-19,9.3,10.06,6.22
000593,德龙汇能,2026-01-19,15.2,-7.6,15.33
600676,交运股份,2026-01-19,9.33,-1.37,6.68
001376,百通能源,2026-01-19,19.76,10.02,11.73
605167,利柏特,2026-01-21,18.0,-2.44,2.36
002354,天娱数科,2026-01-19,7.4,0.0,9.32
002114,罗平锌电,2026-01-19,9.92,1.95,16.09
002856,美芝股份,2026-01-19,14.79,2.35,5.35
603303,得邦照明,2026-01-19,14.13,2.54,1.01
000875,吉电股份,2026-01-19,6.53,0.93,3.76
600633,浙数文化,2026-01-19,14.96,-2.92,3.69
002153,石基信息,2026-01-19,15.76,2.14,8.64
603708,家家悦,2026-01-19,13.02,0.93,1.49
600152,维科技术,2026-01-19,7.67,-0.65,3.7
603687,大胜达,2026-01-19,10.75,0.28,3.05
688365,光云科技,2026-01-19,25.78,-1.6,8.13
603339,四方科技,2026-01-19,14.25,1.14,2.56
603015,弘讯科技,2026-01-19,16.2,2.73,7.99
688488,艾迪药业,2026-01-21,21.0,-2.33,1.92
605186,健麾信息,2026-01-19,21.77,1.16,3.8
600410,华胜天成,2026-01-19,20.33,-7.55,24.62
688207,格灵深瞳,2026-01-19,17.57,-3.04,3.31
002609,捷顺科技,2026-01-19,10.48,-1.41,7.72
002879,长缆科技,2026-01-21,21.79,-0.5,12.92
002787,华源控股,2026-01-19,13.64,-0.37,11.05
603000,人民网,2026-01-19,24.98,-9.98,0.59
002769,普路通,2026-01-19,12.92,-1.22,5.93
603320,迪贝电气,2026-01-19,21.12,2.03,6.07
000892,欢瑞世纪,2026-01-19,7.9,-0.38,6.55
002636,金安国纪,2026-01-19,20.37,9.99,4.23
002659,凯文教育,2026-01-19,6.41,0.16,4.82
002054,德美化工,2026-01-19,8.43,1.44,8.37
603488,展鹏科技,2026-01-19,10.24,-5.88,7.53
605136,丽人丽妆,2026-01-19,12.45,-0.48,8.38
605222,起帆电缆,2026-01-21,20.88,-2.06,2.83
002264,新 华 都,2026-01-19,9.89,-9.1,16.35
688479,友车科技,2026-01-19,21.99,-3.85,10.26
600785,新华百货,2026-01-19,20.7,9.99,13.17
601611,中国核建,2026-01-19,16.97,-1.22,3.2
601900,南方传媒,2026-01-19,14.96,1.63,2.57
603161,科华控股,2026-01-19,15.84,2.33,6.52
600588,用友网络,2026-01-19,15.6,-3.05,4.5
600724,宁波富达,2026-01-19,6.39,1.59,1.6
603023,威帝股份,2026-01-19,5.78,-2.36,11.14
601116,三江购物,2026-01-19,17.6,-10.02,0.62
603888,新华网,2026-01-19,23.63,-9.98,8.84
001896,豫能控股,2026-01-19,6.46,1.89,3.67
600839,四川长虹,2026-01-19,10.16,-0.39,3.89
603969,银龙股份,2026-01-19,10.88,5.12,3.28
688119,中钢洛耐,2026-01-19,7.47,-12.32,7.05
688586,江航装备,2026-01-19,14.86,2.91,2.81
