代码,名称,日期,收盘价,涨跌幅,换手率
002908,德生科技,2026-01-09,10.79,3.45,11.64
002036,联创电子,2026-01-09,12.26,0.57,9.22
002462,嘉事堂,2026-01-09,16.11,-6.39,14.84
002131,利欧股份,2026-01-09,7.46,10.03,11.98
002471,中超控股,2026-01-09,8.22,-2.61,30.8
603778,国晟科技,2026-01-06,21.3,10.02,8.51
002571,德力股份,2026-01-09,12.91,-1.45,7.03
002383,合众思壮,2026-01-09,14.5,0.21,16.46
603221,爱丽家居,2026-01-09,13.52,-1.6,3.79
002277,友阿股份,2026-01-09,8.12,0.12,7.06
600707,彩虹股份,2026-01-09,6.87,0.0,2.2
002716,湖南白银,2026-01-09,7.9,2.2,9.52
603017,中衡设计,2026-01-09,13.3,10.01,1.73
603331,百达精工,2026-01-09,14.01,3.01,10.9
601519,大智慧,2026-01-09,14.17,0.93,3.37
600198,大唐电信,2026-01-09,10.63,-2.57,9.16
002072,凯瑞德,2026-01-09,7.71,-4.22,5.27
601133,柏诚股份,2026-01-09,16.88,-0.88,13.75
003039,顺控发展,2026-01-09,16.38,0.43,2.6
600273,嘉化能源,2026-01-09,9.45,-0.63,2.05
002627,三峡旅游,2026-01-09,7.65,-0.13,2.82
000635,英 力 特,2026-01-09,9.69,-1.42,6.02
002083,孚日股份,2026-01-09,13.11,-2.74,13.71
688108,赛诺医疗,2026-01-09,22.68,0.27,7.17
002092,中泰化学,2026-01-09,5.35,-0.37,3.37
601886,江河集团,2026-01-09,8.78,-0.23,0.72
002774,快意电梯,2026-01-09,14.95,10.01,3.65
603125,常青科技,2026-01-09,18.99,0.26,23.19
002548,金新农,2026-01-09,6.33,0.96,6.08
688556,高测股份,2026-01-09,13.48,-3.09,10.29
002197,ST证通,2026-01-09,10.45,0.0,5.04
002414,高德红外,2026-01-09,16.23,0.5,4.04
002766,索菱股份,2026-01-09,6.74,-6.39,17.0
603028,赛福天,2026-01-09,9.51,0.42,10.22
603598,引力传媒,2026-01-09,25.93,10.01,6.9
688548,广钢气体,2026-01-09,18.66,-1.79,4.86
600230,沧州大化,2026-01-09,15.2,-3.12,4.78
002795,永和智控,2026-01-09,7.45,10.04,11.61
605228,神通科技,2026-01-09,16.67,-1.83,4.03
001210,金房能源,2026-01-09,21.38,-0.83,5.54
002342,巨力索具,2026-01-09,10.98,10.02,2.7
600459,贵研铂业,2026-01-09,21.57,5.22,9.75
603012,创力集团,2026-01-09,6.93,1.32,7.15
600955,维远股份,2026-01-09,17.29,-0.63,1.44
000672,上峰水泥,2026-01-09,12.93,0.31,2.4
603608,天创时尚,2026-01-09,8.93,-4.08,9.42
601068,中铝国际,2026-01-09,6.0,0.0,1.4
603278,大业股份,2026-01-09,16.11,-4.67,24.92
001299,美能能源,2026-01-09,12.86,0.55,4.52
002969,嘉美包装,2026-01-06,15.07,10.0,11.71
600909,华安证券,2026-01-09,7.26,2.11,3.56
002519,银河电子,2026-01-09,10.43,10.02,6.75
688106,金宏气体,2026-01-09,24.09,-0.45,7.85
000949,新乡化纤,2026-01-09,6.06,-0.49,3.88
600620,天宸股份,2026-01-09,7.2,-0.83,2.82
000905,厦门港务,2026-01-09,13.98,-1.48,7.37
600618,氯碱化工,2026-01-09,12.95,-0.31,2.58
600075,新疆天业,2026-01-09,5.34,-0.37,1.84
603023,威帝股份,2026-01-09,5.52,-1.25,7.78
002355,兴民智通,2026-01-09,6.7,1.52,11.31
