代码,名称,日期,收盘价,涨跌幅,换手率
002400,省广集团,2026-01-12,11.41,10.03,17.21
000510,新金路,2026-01-12,13.93,3.8,11.13
002462,嘉事堂,2026-01-12,17.13,6.33,15.14
002131,利欧股份,2026-01-12,8.21,10.05,0.52
002471,中超控股,2026-01-12,9.04,9.98,16.37
002945,华林证券,2026-01-12,18.26,2.58,3.16
600776,东方通信,2026-01-12,22.39,10.02,0.8
603778,国晟科技,2026-01-12,23.43,10.0,9.94
601615,明阳智能,2026-01-12,19.68,10.01,4.97
002571,德力股份,2026-01-12,13.42,3.95,7.22
002383,合众思壮,2026-01-12,15.17,4.62,15.35
603221,爱丽家居,2026-01-12,13.38,-1.04,4.0
002277,友阿股份,2026-01-12,8.27,1.85,5.96
600707,彩虹股份,2026-01-12,6.92,0.73,1.98
002413,雷科防务,2026-01-12,20.13,10.0,38.24
600198,大唐电信,2026-01-12,11.15,4.89,8.98
002072,凯瑞德,2026-01-12,7.56,-1.95,5.71
002044,美年健康,2026-01-12,6.74,9.95,0.97
600828,茂业商业,2026-01-12,7.69,10.01,3.0
603037,凯众股份,2026-01-12,16.62,-6.79,12.15
600826,兰生股份,2026-01-12,12.43,3.24,3.67
002541,鸿路钢构,2026-01-12,20.48,-1.01,3.68
688560,明冠新材,2026-01-12,16.26,3.57,4.47
688387,信科移动,2026-01-12,19.01,20.01,4.92
002115,三维通信,2026-01-12,16.19,9.99,7.55
003039,顺控发展,2026-01-12,16.48,0.61,2.76
600273,嘉化能源,2026-01-12,9.4,-0.53,1.87
002112,三变科技,2026-01-12,15.89,1.53,24.61
000635,英 力 特,2026-01-12,9.73,0.41,3.65
002083,孚日股份,2026-01-12,13.36,1.91,13.6
600587,新华医疗,2026-01-12,16.5,0.92,5.31
600879,航天电子,2026-01-12,31.56,10.0,12.24
688108,赛诺医疗,2026-01-12,23.69,4.45,9.74
002092,中泰化学,2026-01-12,5.42,1.31,4.37
600676,交运股份,2026-01-12,7.47,10.01,0.5
601886,江河集团,2026-01-12,8.78,0.0,0.79
603458,勘设股份,2026-01-12,12.17,1.08,6.92
603125,常青科技,2026-01-12,18.77,-1.16,15.48
002197,ST证通,2026-01-12,10.76,2.97,6.04
002766,索菱股份,2026-01-12,7.03,4.3,14.29
603028,赛福天,2026-01-12,9.53,0.21,9.41
603598,引力传媒,2026-01-12,28.52,9.99,0.6
688548,广钢气体,2026-01-12,19.55,4.77,5.77
600230,沧州大化,2026-01-12,15.16,-0.26,4.22
605228,神通科技,2026-01-12,16.38,-1.74,3.18
001210,金房能源,2026-01-12,21.05,-1.54,4.89
002342,巨力索具,2026-01-12,12.08,10.02,1.7
600869,远东股份,2026-01-12,10.89,3.13,9.96
600459,贵研铂业,2026-01-12,21.32,-1.16,8.72
002465,海格通信,2026-01-12,22.0,10.0,14.92
002254,泰和新材,2026-01-12,12.5,4.25,5.6
603333,尚纬股份,2026-01-12,8.88,-0.45,4.88
603617,君禾股份,2026-01-12,7.84,1.03,5.79
003037,三和管桩,2026-01-12,8.38,-1.06,5.85
603012,创力集团,2026-01-12,7.17,3.46,8.2
600295,鄂尔多斯,2026-01-12,14.85,-6.01,1.37
601068,中铝国际,2026-01-12,6.0,0.0,1.27
002677,浙江美大,2026-01-12,9.49,3.04,8.65
002969,嘉美包装,2026-01-12,16.58,10.02,0.43
600637,东方明珠,2026-01-12,14.65,9.98,2.91
600909,华安证券,2026-01-12,7.31,0.69,3.22
002510,天汽模,2026-01-12,7.93,1.8,15.78
002519,银河电子,2026-01-12,11.47,9.97,3.89
688106,金宏气体,2026-01-12,23.7,-1.62,5.44
002512,达华智能,2026-01-12,7.62,9.96,8.46
002195,岩山科技,2026-01-12,11.39,10.05,16.63
002639,雪人集团,2026-01-12,27.03,10.01,40.08
000949,新乡化纤,2026-01-12,6.16,1.65,4.02
600620,天宸股份,2026-01-12,7.15,-0.69,2.71
000905,厦门港务,2026-01-12,14.15,1.22,7.38
600618,氯碱化工,2026-01-12,12.91,-0.31,2.38
603356,华菱精工,2026-01-12,16.44,3.14,7.38
600075,新疆天业,2026-01-12,5.41,1.31,2.07
603023,威帝股份,2026-01-12,5.68,2.9,10.09
002355,兴民智通,2026-01-12,6.89,2.84,10.57
