代码,名称,日期,收盘价,涨跌幅,换手率
603938,三孚股份,2026-01-15,25.73,10.0,8.27
002849,威星智能,2026-01-15,18.23,2.94,7.72
603138,海量数据,2026-01-15,16.93,-1.34,9.19
600776,东方通信,2026-01-15,23.49,-10.0,1.07
603778,国晟科技,2026-01-15,24.95,-9.99,8.63
002858,力盛体育,2026-01-15,16.99,0.18,6.99
000987,越秀资本,2026-01-15,9.73,-4.79,4.31
601615,明阳智能,2026-01-12,19.68,10.01,4.97
603282,亚光股份,2026-01-15,21.59,-3.62,9.59
002181,粤 传 媒,2026-01-15,10.95,-5.19,10.39
688085,三友医疗,2026-01-15,21.45,-3.81,4.04
002029,七 匹 狼,2026-01-15,12.83,-6.62,7.41
603017,中衡设计,2026-01-15,12.06,-2.82,7.95
002250,联化科技,2026-01-15,17.86,6.12,7.18
002366,融发核电,2026-01-15,8.3,-2.81,7.31
603057,紫燕食品,2026-01-15,27.2,-8.11,2.31
002296,辉煌科技,2026-01-15,12.31,-2.22,8.53
600215,派斯林,2026-01-15,7.6,-3.18,4.99
600586,金晶科技,2026-01-15,6.12,-1.29,4.01
000503,国新健康,2026-01-15,10.81,-2.88,5.7
000917,电广传媒,2026-01-15,11.84,-4.52,10.55
002171,楚江新材,2026-01-15,13.89,-3.14,6.87
600694,大商股份,2026-01-15,19.34,-2.22,2.91
600828,茂业商业,2026-01-15,7.4,-4.02,5.37
002729,好利科技,2026-01-15,18.38,-2.23,6.51
688590,新致软件,2026-01-15,23.45,-5.44,9.4
600838,上海九百,2026-01-15,12.59,-4.98,12.67
002361,神剑股份,2026-01-15,16.31,-9.99,2.27
600965,福成股份,2026-01-15,6.13,-2.54,2.59
601608,中信重工,2026-01-15,6.97,-2.38,1.63
002574,明牌珠宝,2026-01-15,6.92,-10.01,7.33
688387,信科移动,2026-01-15,17.76,-10.66,11.53
600143,金发科技,2026-01-15,19.69,-0.81,3.32
688221,前沿生物,2026-01-15,26.1,-1.51,4.78
603108,润达医疗,2026-01-15,20.04,1.83,11.61
002066,瑞泰科技,2026-01-15,19.39,-1.57,1.62
000066,中国长城,2026-01-15,16.35,-2.33,5.01
603703,盛洋科技,2026-01-15,15.98,-9.97,13.62
002707,众信旅游,2026-01-15,9.09,10.05,3.16
603602,纵横通信,2026-01-15,16.39,-5.42,11.77
688277,天智航,2026-01-15,22.9,-8.22,7.63
600397,江钨装备,2026-01-15,9.4,1.73,3.91
002927,泰永长征,2026-01-15,22.94,3.01,6.89
001330,博纳影业,2026-01-15,8.94,-7.07,12.37
603305,旭升集团,2026-01-15,19.16,-5.52,8.59
603918,金桥信息,2026-01-15,19.95,-10.01,5.23
603682,锦和商管,2026-01-15,7.14,-2.46,7.37
603169,兰石重装,2026-01-15,11.98,-1.07,5.23
002278,神开股份,2026-01-15,13.5,-10.0,18.7
600879,航天电子,2026-01-15,26.78,-9.98,6.12
000803,山高环能,2026-01-15,8.44,-4.52,5.33
600877,电科芯片,2026-01-15,20.61,-10.0,8.46
002712,思美传媒,2026-01-15,6.77,-6.1,13.0
002757,南兴股份,2026-01-15,23.78,-9.99,10.77
002856,美芝股份,2026-01-15,14.68,-2.33,6.5
600633,浙数文化,2026-01-15,16.73,-3.8,9.3
002153,石基信息,2026-01-15,16.14,10.02,4.44
603708,家家悦,2026-01-15,13.3,-0.3,2.91
600775,南京熊猫,2026-01-15,15.94,-9.17,18.14
