代码,名称,日期,收盘价,涨跌幅,换手率
600179,安通控股,2025-12-31,5.52,0.55,7.54
603778,国晟科技,2025-12-31,17.6,7.84,13.35
600279,重庆港,2025-12-31,5.46,-2.67,2.18
002571,德力股份,2025-12-31,11.76,-2.65,9.73
002363,隆基机械,2025-12-31,10.1,-6.48,16.6
002429,兆驰股份,2025-12-31,7.42,-2.5,1.48
600755,厦门国贸,2025-12-31,7.19,-2.71,7.33
603017,中衡设计,2025-12-31,11.08,-1.95,11.67
002413,雷科防务,2025-12-31,12.55,9.99,13.4
000973,佛塑科技,2025-12-31,14.7,-0.27,6.44
000551,创元科技,2025-12-31,14.7,3.89,21.12
603601,再升科技,2025-12-31,12.47,4.44,23.46
605007,五洲特纸,2025-12-31,13.51,-1.6,5.79
688033,天宜新材,2025-12-31,7.7,0.52,5.04
600966,博汇纸业,2025-12-31,6.83,-1.16,2.29
603311,金海高科,2025-12-31,15.28,-2.18,7.07
000863,三湘印象,2025-12-31,6.23,0.16,9.23
601969,海南矿业,2025-12-31,11.88,0.34,3.88
600577,精达股份,2025-12-31,12.43,3.67,6.19
603305,旭升集团,2025-12-31,16.18,-3.35,7.16
002324,普利特,2025-12-31,15.99,2.37,5.06
601700,风范股份,2025-12-31,5.66,-1.57,4.5
000593,德龙汇能,2025-12-31,11.2,-0.09,3.47
000505,京粮控股,2025-12-31,8.51,-1.73,8.13
001376,百通能源,2025-12-31,16.84,0.3,8.05
002297,博云新材,2025-12-31,11.97,2.13,15.98
001217,华尔泰,2025-12-31,13.9,-3.74,5.47
000796,凯撒旅业,2025-12-31,7.2,6.04,14.21
002347,泰尔股份,2025-12-31,12.38,10.04,8.22
600475,华光环能,2025-12-31,18.17,-1.2,1.89
002560,通达股份,2025-12-31,10.08,1.1,11.08
002446,盛路通信,2025-12-31,10.49,1.35,13.24
600330,天通股份,2025-12-31,13.13,2.82,13.28
002201,九鼎新材,2025-12-31,11.42,-4.36,21.96
603680,今创集团,2025-12-31,15.41,-2.9,1.66
603608,天创时尚,2025-12-31,10.3,10.04,2.58
603660,苏州科达,2025-12-31,11.03,5.25,8.43
000703,恒逸石化,2025-12-31,10.77,-1.91,1.24
000036,华联控股,2025-12-31,6.6,-2.08,9.62
603809,豪能股份,2025-12-31,14.35,-2.11,7.55
002951,金时科技,2025-12-31,14.9,-3.18,2.56
