代码,名称,日期,收盘价,涨跌幅,换手率
002196,方正电机,2026-01-06,15.22,1.0,25.37
600179,安通控股,2026-01-06,5.23,0.58,3.8
603879,永悦科技,2026-01-06,7.11,0.57,10.24
002462,嘉事堂,2026-01-06,17.38,10.0,4.1
002471,中超控股,2026-01-06,8.15,9.99,34.29
603778,国晟科技,2026-01-06,21.3,10.02,8.51
002383,合众思壮,2026-01-06,13.42,10.0,6.52
002363,隆基机械,2026-01-06,9.78,-0.51,9.76
603359,东珠生态,2026-01-06,9.17,0.88,9.08
600755,厦门国贸,2026-01-06,7.15,1.71,5.26
603017,中衡设计,2026-01-06,11.04,0.36,5.25
605069,正和生态,2026-01-06,14.51,-2.88,21.36
603331,百达精工,2026-01-06,13.54,-1.96,12.53
002413,雷科防务,2026-01-06,15.19,9.99,11.29
002805,丰元股份,2026-01-06,18.16,0.0,12.97
000917,电广传媒,2026-01-06,11.42,4.96,10.25
000973,佛塑科技,2026-01-06,15.51,4.66,10.73
603601,再升科技,2026-01-06,13.53,4.16,24.15
605007,五洲特纸,2026-01-06,13.58,0.3,3.91
603626,科森科技,2026-01-06,19.72,-1.2,11.58
000863,三湘印象,2026-01-06,5.96,-2.3,6.75
601969,海南矿业,2026-01-06,11.71,1.12,2.96
000411,英特集团,2026-01-06,12.92,0.39,7.99
600736,苏州高新,2026-01-06,6.87,-1.43,7.29
600192,长城电工,2026-01-06,10.19,0.99,6.49
002324,普利特,2026-01-06,19.35,10.01,3.49
603967,中创物流,2026-01-06,13.57,-3.9,5.15
601700,风范股份,2026-01-06,5.63,1.81,4.56
600775,南京熊猫,2026-01-06,14.78,9.97,0.92
002272,川润股份,2026-01-06,16.61,-1.13,18.33
600330,天通股份,2026-01-06,12.64,-2.54,8.72
002201,九鼎新材,2026-01-06,11.17,2.1,13.47
603680,今创集团,2026-01-06,15.96,5.0,2.31
000672,上峰水泥,2026-01-06,13.21,1.15,3.52
001299,美能能源,2026-01-06,13.02,-1.66,9.05
002969,嘉美包装,2026-01-06,15.07,10.0,11.71
603660,苏州科达,2026-01-06,11.26,-1.57,7.25
002519,银河电子,2026-01-06,7.84,9.96,5.7
000703,恒逸石化,2026-01-06,10.75,3.37,1.78
600682,南京新百,2026-01-06,8.86,-0.78,4.61
