代码,名称,日期,收盘价,涨跌幅,换手率
603938,三孚股份,2026-01-13,23.9,-10.02,8.89
002849,威星智能,2026-01-13,17.72,-2.21,10.3
000510,新金路,2026-01-13,13.89,-0.29,10.8
002036,联创电子,2026-01-13,12.21,-5.13,9.83
002462,嘉事堂,2026-01-13,16.36,-4.5,10.19
002131,利欧股份,2026-01-13,9.03,9.99,1.0
002945,华林证券,2026-01-13,18.92,3.61,4.0
002925,盈趣科技,2026-01-13,21.43,-1.88,6.21
601615,明阳智能,2026-01-12,19.68,10.01,4.97
600784,鲁银投资,2026-01-13,7.42,-4.01,5.25
002383,合众思壮,2026-01-13,13.65,-10.02,10.24
002277,友阿股份,2026-01-13,7.85,-5.08,5.76
600707,彩虹股份,2026-01-13,6.76,-2.31,1.63
002366,融发核电,2026-01-13,8.45,-8.45,14.2
603057,紫燕食品,2026-01-13,28.0,2.08,4.23
002296,辉煌科技,2026-01-13,12.5,-4.65,17.69
601519,大智慧,2026-01-13,14.6,-4.58,4.83
002413,雷科防务,2026-01-13,18.12,-9.99,33.96
600215,派斯林,2026-01-13,7.95,-8.3,11.87
600198,大唐电信,2026-01-13,10.39,-6.82,6.76
002044,美年健康,2026-01-13,7.41,9.94,1.18
002729,好利科技,2026-01-13,18.73,-0.64,11.49
601958,金钼股份,2026-01-13,18.05,-0.82,1.41
603037,凯众股份,2026-01-13,16.09,-3.19,8.93
002541,鸿路钢构,2026-01-13,21.29,3.96,3.9
600435,北方导航,2026-01-13,19.68,-10.01,7.51
600858,银座股份,2026-01-13,6.96,-2.79,10.97
002115,三维通信,2026-01-13,17.81,10.01,1.5
002836,新宏泽,2026-01-13,15.56,-2.75,3.57
600143,金发科技,2026-01-13,20.17,-6.23,8.51
600133,东湖高新,2026-01-13,9.65,-5.11,6.64
600273,嘉化能源,2026-01-13,9.27,-1.38,1.75
002023,海特高新,2026-01-13,14.3,-7.08,11.7
600397,江钨装备,2026-01-13,9.2,-2.23,5.77
002627,三峡旅游,2026-01-13,7.73,-2.52,3.08
000635,英 力 特,2026-01-13,9.7,-0.31,4.23
002177,御银股份,2026-01-13,9.14,-7.86,31.99
000798,中水渔业,2026-01-13,11.51,-4.48,10.1
002324,普利特,2026-01-13,21.51,-10.0,8.12
002160,常铝股份,2026-01-13,5.8,-0.68,13.04
002092,中泰化学,2026-01-13,5.47,0.92,3.91
600676,交运股份,2026-01-13,8.22,10.04,0.44
601886,江河集团,2026-01-13,8.78,0.0,0.83
002774,快意电梯,2026-01-13,12.77,-10.01,5.77
603125,常青科技,2026-01-13,18.35,-2.24,12.59
688556,高测股份,2026-01-13,13.47,-6.2,7.04
600775,南京熊猫,2026-01-13,17.59,-9.98,24.22
002197,ST证通,2026-01-13,10.5,-2.42,5.94
002766,索菱股份,2026-01-13,7.15,1.71,18.87
603028,赛福天,2026-01-13,9.61,0.84,8.49
603598,引力传媒,2026-01-13,31.37,9.99,9.64
688548,广钢气体,2026-01-13,19.46,-0.46,4.91
600230,沧州大化,2026-01-13,15.15,-0.07,4.42
600629,华建集团,2026-01-13,22.53,-4.05,6.08
002795,永和智控,2026-01-13,7.2,-1.5,8.08
605228,神通科技,2026-01-13,15.88,-3.05,2.68
001210,金房能源,2026-01-13,20.82,-1.09,5.19
603015,弘讯科技,2026-01-13,16.94,-9.99,7.01
600869,远东股份,2026-01-13,10.63,-2.39,8.51
600459,贵研铂业,2026-01-13,21.0,-1.5,7.39
002465,海格通信,2026-01-13,24.2,10.0,12.66
603333,尚纬股份,2026-01-13,8.61,-3.04,3.91
603617,君禾股份,2026-01-13,7.75,-1.15,4.85
603012,创力集团,2026-01-13,7.03,-1.95,6.51
600955,维远股份,2026-01-13,17.64,-0.79,1.74
603000,人民网,2026-01-13,25.48,10.02,2.23
600295,鄂尔多斯,2026-01-13,14.35,-3.37,0.9
601068,中铝国际,2026-01-13,5.93,-1.17,1.06
603278,大业股份,2026-01-13,15.95,-9.99,16.61
002969,嘉美包装,2026-01-13,17.55,5.85,14.38
600909,华安证券,2026-01-13,7.3,-0.14,2.8
002510,天汽模,2026-01-13,7.6,-4.16,9.5
002565,顺灏股份,2026-01-13,20.6,-10.0,11.81
688106,金宏气体,2026-01-13,22.4,-5.49,4.23
600151,航天机电,2026-01-13,20.51,-10.0,13.05
000949,新乡化纤,2026-01-13,6.0,-2.6,3.61
600620,天宸股份,2026-01-13,7.13,-0.28,2.49
600135,乐凯胶片,2026-01-13,11.9,-3.02,12.34
000532,华金资本,2026-01-13,17.37,-4.72,7.94
603356,华菱精工,2026-01-13,16.98,3.28,6.46
600075,新疆天业,2026-01-13,5.29,-2.22,1.75
601116,三江购物,2026-01-13,18.98,10.03,3.13
002355,兴民智通,2026-01-13,6.71,-2.61,8.94
600271,航天信息,2026-01-13,12.29,-10.03,7.39
603877,太平鸟,2026-01-13,17.04,2.04,1.49
000859,国风新材,2026-01-13,12.55,-7.04,18.98
