代码,名称,日期,收盘价,涨跌幅,换手率
603739,蔚蓝生物,2026-01-16,15.61,-1.82,5.17
002777,久远银海,2026-01-16,21.24,-6.56,10.73
002849,威星智能,2026-01-16,18.35,0.66,5.96
002400,省广集团,2026-01-16,11.52,-10.0,15.87
603138,海量数据,2026-01-16,16.52,-2.42,7.69
600776,东方通信,2026-01-16,21.14,-10.0,0.72
603778,国晟科技,2026-01-16,22.46,-9.98,1.12
601858,中国科传,2026-01-16,21.54,-9.99,3.97
002858,力盛体育,2026-01-16,16.43,-3.3,5.97
000987,越秀资本,2026-01-16,9.4,-3.39,2.87
601615,明阳智能,2026-01-12,19.68,10.01,4.97
603282,亚光股份,2026-01-16,21.42,-0.79,5.46
002181,粤 传 媒,2026-01-16,10.61,-3.11,8.08
002429,兆驰股份,2026-01-16,9.19,5.63,5.09
688085,三友医疗,2026-01-16,20.39,-4.94,2.03
603057,紫燕食品,2026-01-16,27.67,1.73,2.23
002296,辉煌科技,2026-01-16,12.2,-0.89,6.36
600215,派斯林,2026-01-16,7.85,3.29,4.9
000503,国新健康,2026-01-16,10.23,-5.37,4.82
002171,楚江新材,2026-01-16,14.42,3.82,7.62
600694,大商股份,2026-01-16,18.89,-2.33,2.74
002044,美年健康,2026-01-16,7.66,-9.99,17.5
600589,大位科技,2026-01-16,9.62,-6.15,24.03
600828,茂业商业,2026-01-16,7.02,-5.14,3.35
002729,好利科技,2026-01-16,19.05,3.65,9.81
002427,尤夫股份,2026-01-16,7.24,-5.73,5.67
688590,新致软件,2026-01-16,22.32,-4.82,7.21
002490,山东墨龙,2026-01-16,7.85,-9.98,18.89
002574,明牌珠宝,2026-01-16,6.35,-8.24,7.18
688387,信科移动,2026-01-16,19.81,11.54,10.54
002115,三维通信,2026-01-16,17.59,-9.98,2.21
600143,金发科技,2026-01-16,20.26,2.89,5.75
688221,前沿生物,2026-01-16,25.7,-1.53,4.22
603108,润达医疗,2026-01-16,18.11,-9.63,13.46
002066,瑞泰科技,2026-01-16,19.63,1.24,1.84
603703,盛洋科技,2026-01-16,16.03,0.31,11.91
603602,纵横通信,2026-01-16,15.79,-3.66,8.46
688277,天智航,2026-01-16,22.93,0.13,5.72
600397,江钨装备,2026-01-16,9.42,0.21,4.95
603305,旭升集团,2026-01-16,19.55,2.04,7.83
603918,金桥信息,2026-01-16,17.96,-9.97,16.22
603682,锦和商管,2026-01-16,7.08,-0.84,5.68
601949,中国出版,2026-01-16,7.48,-4.1,2.67
002600,领益智造,2026-01-16,16.51,2.29,3.11
000803,山高环能,2026-01-16,8.45,0.12,3.99
600877,电科芯片,2026-01-16,21.04,2.09,7.33
002712,思美传媒,2026-01-16,6.26,-7.53,9.73
600676,交运股份,2026-01-16,9.46,2.16,9.81
002354,天娱数科,2026-01-16,7.4,-7.85,19.4
002856,美芝股份,2026-01-16,14.45,-1.57,6.37
603458,勘设股份,2026-01-16,12.37,-3.28,5.61
603303,得邦照明,2026-01-16,13.78,0.36,0.61
000875,吉电股份,2026-01-16,6.47,-4.85,4.85
600633,浙数文化,2026-01-16,15.41,-7.89,6.78
603708,家家悦,2026-01-16,12.9,-3.01,2.1
002207,准油股份,2026-01-16,8.26,-8.43,16.68
603598,引力传媒,2026-01-16,28.36,-10.0,3.08
600152,维科技术,2026-01-16,7.72,-2.15,4.54
002082,万邦德,2026-01-16,17.01,0.59,2.51
603687,大胜达,2026-01-16,10.72,-0.28,3.64
688365,光云科技,2026-01-16,26.2,-4.24,11.86
603339,四方科技,2026-01-16,14.09,-0.84,3.4
600986,浙文互联,2026-01-16,10.04,-9.96,2.64
002795,永和智控,2026-01-16,6.92,-1.7,5.89
600475,华光环能,2026-01-16,23.76,-0.17,2.17
002187,广百股份,2026-01-16,8.24,1.6,7.84
603015,弘讯科技,2026-01-16,15.77,1.48,8.88
600640,国脉文化,2026-01-16,13.88,-5.0,2.44
600552,凯盛科技,2026-01-16,14.86,2.13,6.47
002342,巨力索具,2026-01-16,11.34,-10.0,1.17
002465,海格通信,2026-01-16,21.56,-10.02,0.51
605186,健麾信息,2026-01-16,21.52,-0.97,4.05
001202,炬申股份,2026-01-16,19.01,-0.37,8.09
