代码,名称,今日涨幅
002131,利欧股份,10.03
002774,快意电梯,10.01
000987,越秀资本,9.99
600589,大位科技,9.99
603108,润达医疗,9.99
603116,红蜻蜓,7.61
002177,御银股份,6.97
603916,苏博特,6.03
600722,金牛化工,6.01
002945,华林证券,5.2
002208,合肥城建,5.19
002757,南兴股份,5.17
603037,凯众股份,4.7
603466,风语筑,3.8
002908,德生科技,3.45
002413,雷科防务,3.45
600602,云赛智联,3.21
600552,凯盛科技,2.43
600348,华阳股份,2.26
600055,万东医疗,2.04
002659,凯文教育,1.96
600775,南京熊猫,1.84
002148,北纬科技,1.64
600120,浙江东方,1.62
002010,传化智联,1.62
002583,海能达,1.61
603488,展鹏科技,1.36
603012,创力集团,1.32
000026,飞亚达,1.28
603877,太平鸟,0.88
603229,奥翔药业,0.79
000948,南天信息,0.05
603095,越剑智能,0.0
002875,安奈儿,-0.17
600236,桂冠电力,-0.49
600955,维远股份,-0.63
001210,金房能源,-0.83
600587,新华医疗,-0.97
600403,大有能源,-3.23
