代码,名称,今日涨幅
002491,通鼎互联,10.06
605151,西上海,10.0
002575,群兴玩具,10.0
603103,横店影视,10.0
603861,白云电器,9.99
002131,利欧股份,6.33
603868,飞科电器,5.5
000599,青岛双星,5.16
000821,京山轻机,5.03
603601,再升科技,4.33
600761,安徽合力,4.3
002952,亚世光电,4.29
002350,北京科锐,4.27
603685,晨丰科技,3.97
002703,浙江世宝,3.92
002842,翔鹭钨业,3.75
603038,华立股份,3.61
600481,双良节能,3.26
002041,登海种业,3.1
603324,盛剑科技,2.6
002930,宏川智慧,2.29
603958,哈森股份,2.27
001316,润贝航科,2.21
002957,科瑞技术,2.03
002338,奥普光电,1.99
600350,山东高速,1.9
002995,天地在线,1.85
002531,天顺风能,1.4
000558,天府文旅,1.31
600059,古越龙山,1.08
600725,云维股份,0.99
601169,北京银行,0.94
605090,九丰能源,0.92
603515,欧普照明,0.69
600778,友好集团,0.68
600377,宁沪高速,0.5
603912,佳力图,0.34
600469,风神股份,0.27
603010,万盛股份,0.16
603326,我乐家居,0.1
601969,海南矿业,0.0
603980,吉华集团,0.0
601298,青岛港,0.0
000089,深圳机场,0.0
601838,成都银行,-0.25
002757,南兴股份,-0.51
601107,四川成渝,-0.63
603230,内蒙新华,-0.76
600869,远东股份,-1.16
603311,金海高科,-1.23
002457,青龙管业,-1.36
603271,永杰新材,-1.4
000429,粤高速Ａ,-1.48
600493,凤竹纺织,-1.52
601665,齐鲁银行,-1.55
002623,亚玛顿,-1.67
600640,国脉文化,-1.71
603002,宏昌电子,-1.73
002541,鸿路钢构,-1.81
000782,恒申新材,-1.87
600007,中国国贸,-1.9
002043,兔 宝 宝,-1.92
002455,百川股份,-2.29
601077,渝农商行,-2.31
002094,青岛金王,-2.4
600897,厦门空港,-2.61
600076,康欣新材,-2.63
002438,江苏神通,-2.9
000815,美利云,-2.95
603599,广信股份,-3.12
600452,涪陵电力,-3.3
000998,隆平高科,-3.33
001322,箭牌家居,-3.42
002782,可立克,-3.43
603316,诚邦股份,-3.44
605155,西大门,-3.74
605337,李子园,-3.77
600770,综艺股份,-3.87
600522,中天科技,-4.03
002144,宏达高科,-4.11
002440,闰土股份,-4.29
002372,伟星新材,-4.58
001979,招商蛇口,-4.64
603162,海通发展,-5.47
600354,敦煌种业,-5.81
002119,康强电子,-5.81
002244,滨江集团,-5.94
002624,完美世界,-6.58
002853,皮阿诺,-7.04
600371,万向德农,-7.09
002734,利民股份,-7.98
600313,农发种业,-8.15
603578,三星新材,-9.97
002207,准油股份,-9.98
600352,浙江龙盛,-9.99
600230,沧州大化,-10.0
600916,中国黄金,-10.01
