代码,名称,今日涨幅
002160,常铝股份,10.08
002286,保龄宝,10.03
605228,神通科技,10.03
000695,滨海能源,10.02
600618,氯碱化工,10.02
002925,盈趣科技,9.98
601519,大智慧,9.98
600611,大众交通,9.96
603617,君禾股份,9.95
600983,惠而浦,9.81
601777,千里科技,7.64
600722,金牛化工,7.45
600739,辽宁成大,7.16
002986,宇新股份,6.85
000783,长江证券,6.76
002232,启明信息,6.74
601965,中国汽研,6.58
002667,威领股份,6.13
002225,濮耐股份,6.09
600446,金证股份,6.04
600623,华谊集团,5.88
600906,财达证券,5.79
002942,新农股份,5.64
600095,湘财股份,5.49
600470,六国化工,4.49
600769,祥龙电业,4.48
603170,宝立食品,4.42
002112,三变科技,4.19
002736,国信证券,4.1
000050,深天马Ａ,3.96
000623,吉林敖东,3.93
000728,国元证券,3.79
000166,申万宏源,3.78
002574,明牌珠宝,3.72
600063,皖维高新,3.7
603093,南华期货,3.66
600390,五矿资本,3.57
002654,万润科技,3.57
601636,旗滨集团,3.53
603599,广信股份,3.46
600667,太极实业,3.37
603035,常熟汽饰,3.32
002167,东方锆业,3.31
600746,江苏索普,3.31
002996,顺博合金,3.15
601555,东吴证券,3.15
605050,福然德,3.14
600841,动力新科,3.13
600718,东软集团,3.04
603739,蔚蓝生物,3.0
002333,罗普斯金,3.0
002939,长城证券,3.0
600109,国金证券,2.97
600621,华鑫股份,2.92
600643,爱建集团,2.91
603299,苏盐井神,2.7
600318,新力金融,2.67
601901,方正证券,2.67
601117,中国化学,2.65
603551,奥普科技,2.65
002500,山西证券,2.63
002387,维信诺,2.63
600866,星湖科技,2.44
601788,光大证券,2.42
601878,浙商证券,2.37
001239,永达股份,2.21
603000,人民网,2.05
002469,三维化学,1.89
002490,山东墨龙,1.82
600505,西昌电力,1.58
000001,平安银行,1.48
002609,捷顺科技,1.39
002106,莱宝高科,1.36
601882,海天精工,1.34
600101,明星电力,1.28
002236,大华股份,0.83
