代码,名称,今日涨幅
600869,远东股份,10.01
003018,金富科技,8.34
000065,北方国际,8.3
603985,恒润股份,6.45
002636,金安国纪,6.29
605366,宏柏新材,6.2
603687,大胜达,5.98
000703,恒逸石化,4.73
601133,柏诚股份,4.71
605208,永茂泰,4.33
603876,鼎胜新材,2.96
600302,标准股份,2.87
000155,川能动力,2.4
002560,通达股份,2.26
605056,咸亨国际,2.07
603990,麦迪科技,2.04
002678,珠江钢琴,2.03
603399,永杉锂业,2.02
002066,瑞泰科技,2.0
600110,诺德股份,1.97
002203,海亮股份,1.55
603778,国晟科技,1.52
600522,中天科技,1.49
600538,国发股份,1.23
000593,德龙汇能,0.44
600007,中国国贸,0.28
600158,中体产业,0.25
000729,燕京啤酒,0.14
601872,招商轮船,-0.49
603042,华脉科技,-2.15
002082,万邦德,-3.92
